"m1cmr2"	"m1cmr3"	"m1cmt2"	"m1cmt3"	"m1rmr2"	"m1rmr3"	"m1rmt2"	"m1rmt3"	"m2cmr2"	"m2cmr3"	"m2cmt2"	"m2cmt3"	"m2rmr2"	"m2rmr3"	"m2rmt2"	"m2rmt3"	"m3cmr2"	"m3cmr3"	"m3cmt2"	"m3cmt3"	"m3rmr2"	"m3rmr3"	"m3rmt2"	"m3rmt3"	"m4rmr2"	"m4rmr3"	"m4rmt2"	"m4rmt3"
"BASV8"	0.00706962283007	0.011656681419993	0.000658327847268	0	0.002350544428495	0.005208521068378	0.004400440044004	0	0.003615928575215	0.004567599147381	0.000864304235091	0	0.00533799222216	0.007278202424765	0	0	0.006050969224065	0.012490473344033	0.000646412411118	0	0.00256560787808	0.004862875273657	0.001367989056088	0	0.004867220058998	0.00470105029702	0.002849002849003	0.000808930593755
"BASV11"	0.005366991153718	0.008190568703638	0	0	0.011878700879239	0.009768229823739	0	0	0.004051342243762	0.003248071457572	0	0	0.010029367761955	0.008200258955546	0	0.000474833808167	0.003699623460546	0.001707924357471	0	0	0.004117249431574	0.013482588962203	0	0	0.006563421828909	0.006453267233642	0	0.000161786118751
"BASV18"	0.009012795702706	0.004018014835748	0.029624753127058	0.002599090318388	0.015431513978108	0.003208003615327	0.058305830583058	0.007738304607809	0.017492753841202	0.004060086642307	0.019014693171997	0.003414634146342	0.010860498221311	0.00578724625103	0.015350877192982	0.001899335232669	0.011493483029416	0.007778257917156	0.033613445378152	0.003240740740741	0.013734466588828	0.005873632972272	0.034473324213407	0	0.011338476106195	0.003632633873243	0.020892687559355	0.026047565118913
"BASV27"	0.00048117851723	0.0005519251148	0	0	0.000681858962857	0.000612767184515	0	0	0.000927643784787	0.000324807145757	0	0	0.000627989878281	0.000294267665869	0	0	0.000493283128073	0.000658476860712	0	0	0.000629877711547	0.001220488958389	0	0	0.000645280235988	0.000683789905552	0	0
"BASV31"	0.002646481844764	0.003819321794419	0	0	0.006172617979544	0.002126662581552	0	0	0.004638218923933	0.002862362971985	0	0	0.003712528398072	0.003315415702123	0.00109649122807	0	0.002499301182235	0.000946560487273	0	0	0.003978983592454	0.006750829551089	0	0	0.003226401179941	0.0098722167614	0	0
"BASV45"	0.003109126031758	0.003797267785235	0.001316655694536	0.000649772579597	0.003786067952628	0.002955655408572	0	0.000351741118537	0.004032410737951	0.003796183516037	0	0.000975609756098	0.004691453796568	0.002903423125515	0	0.001899335232668	0.004801289113241	0.002510443031463	0.000646412411118	0.000925925925926	0.00428626378664	0.003947518974789	0	0.001141552511416	0.004148256932153	0.003760844480533	0	0.001294288950008
"BASV61"	0.001517563015879	0.001567467326033	0	0	0.00672887134398	0.000919150776773	0.001100110011001	0	0.002120328650941	0.000548112058465	0	0	0.001994791378068	0.001589045395692	0.00109649122807	0	0.00097012348521	0.000493857645534	0	0	0.004316966754747	0.002517258476677	0	0	0.002968289085546	0.019979486302834	0	0
"BASV62"	0.003941962468076	0.002472624514306	0	0	0.00125605598421	0.005280611325379	0	0	0.002669342319488	0.004831506293138	0.000864304235091	0	0.001847029053767	0.004198218699729	0	0	0.003337882499959	0.003601045332016	0.001292824822237	0	0.001029312357893	0.001964224417407	0	0	0.00186209439528	0.001538527287491	0	0
"BASV66"	0.010178776326017	0.000772718156129	0	0	0.002817154136013	0.000306338463757	0	0	0.004392109348378	0.000568411165246	0	0.000487804878049	0.003103008810329	0.000804331620042	0	0	0.001545620467961	0.001234644113834	0	0	0.003656363301173	0.001067947278691	0	0	0.005530973451328	0.000576910863712	0	0
"BASV76"	0.001332494355406	0.002141469445426	0.001316655694536	0	0.001220168670375	0.001117398983527	0	0	0.001836356063761	0.00233455136013	0	0	0.001071276851185	0.001471338329344	0.00219298245614	0.000474833808167	0.002384201785685	0.002428133423874	0	0.000462962962963	0.000522337614453	0.004443342614135	0.000273597811218	0.000570776255708	0.001548672566372	0.001218000769264	0	0
