"q1cmr2"	"q1cmr3"	"q1cmt2"	"q1cmt3"	"q1rmr2"	"q1rmr3"	"q1rmt2"	"q1rmt3"	"q2cmr2"	"q2cmr3"	"q2cmt2"	"q2cmt3"	"q2rmr2"	"q2rmr3"	"q2rmt2"	"q2rmt3"	"q3cmr2"	"q3cmr3"	"q3cmt2"	"q3cmt3"	"q3rmr2"	"q3rmr3"	"q3rmt2"	"q3rmt3"	"q4rmr2"	"q4rmr3"	"q4rmt2"	"q4rmt3"
"BASV8"	0.00289246855251	0.007857861732601	0.000922083909636	0.000809061488673	0.001746715653578	0.00812083836858	0.000741289844329	0.000904159132007	0.005413057886772	0.005083065640084	0.001756440281031	0.001821493624772	0.002610641986947	0.007232812880286	0.001019367991845	0.003340757238307	0.003701098381821	0.00891600716013	0.001872659176029	0	0.003196514339504	0.004144485333524	0	0	0.004171019980842	0.005241112210318	0.000744232200447	0
"BASV11"	0.004857106474323	0.007703027018658	0	0.000809061488673	0.006838142002669	0.022259818731118	0	0	0.006111520701564	0.009162359574559	0.001170960187354	0.001366120218579	0.007106598984772	0.01548895133035	0	0	0.00617576174901	0.007086531384712	0.000624219725343	0	0.015316128020082	0.021919325449284	0	0	0.014129480322503	0.017344082173904	0	0
"BASV18"	0.009259479238144	0.006774101378029	0.022591055786076	0.009708737864078	0.015340474165007	0.005486404833838	0.054114158636027	0.014466546112116	0.008827732288231	0.004634643564991	0.037470725995317	0.01639344262295	0.01898108759971	0.007302192281543	0.074923547400612	0.011135857461024	0.01321223850921	0.00853745463148	0.022471910112359	0	0.014590458487606	0.005573654046233	0.059252506836829	0.010467550593161	0.009898691410553	0.006356644381066	0.017117340610271	0.012282497441147
"BASV27"	0.001237015881101	0.000774173569714	0	0	0.001697177412711	0.001329305135952	0	0	0.000834271079896	0.001238733928495	0	0	0.001740391588107	0.001092725569778	0	0.001113585746102	0.001312618350835	0.000841131321628	0.000624219725343	0	0.001078600564794	0.001268355425346	0	0	0.000638620579548	0.000442021511714	0	0
"BASV31"	0.004693383784177	0.002825733529457	0	0	0.007497240027023	0.001498489425982	0	0.000904159132007	0.003181871095417	0.00536072786297	0	0	0.006109499637418	0.004318867728172	0	0	0.004927698399036	0.003175270739144	0	0	0.005471446501412	0.00593090142556	0	0	0.004430430270615	0.002883664147846	0	0.001023541453429
"BASV45"	0.003965735973513	0.002554801083843	0.001383125864454	0.005663430420711	0.003213102868724	0.002682771903323	0.001482579688658	0.000904159132007	0.002153576873229	0.003716171859383	0.001170960187354	0.002732240437158	0.004060913705584	0.003434280362161	0.001019367991846	0.002227171492204	0.005487175073161	0.006308471780044	0.000624219725343	0.002341920374707	0.004137903984939	0.003822930436957	0.002734731084777	0.004187020237265	0.002654252997526	0.003388831589803	0	0.002047082906858
"BASV61"	0.006567099015845	0.001664473174886	0	0	0.011435350722536	0.002030211480363	0	0	0.003201272748438	0.001964888300372	0	0.000455373406193	0.006961566352429	0.000780518264127	0	0	0.004045446720606	0.001808432341499	0	0	0.00394179479134	0.001732823609275	0	0	0.004470344056837	0.001599696899535	0	0
"BASV62"	0.001255207291117	0.003638615777657	0.000922083909636	0.000809061488673	0.000873304882269	0.003214501510574	0	0	0.003628109114897	0.003331767118021	0	0	0.00110587382161	0.00180386443265	0	0	0.001829058357721	0.002418252549679	0	0	0.001608095387512	0.002215155954125	0	0	0.001476810090205	0.00153655096929	0	0.001023541453429
"BASV66"	0.004184024303724	0.000483904141829	0	0	0.00327901267116	0.00036253776435	0.001235483073882	0	0.00370571572698	0.000277647259835	0.000585480093677	0	0.006236403190717	0.000208138203767	0	0	0.009360475124806	0.000483665660814	0.000624219725343	0	0.005138060872294	0.000285862413805	0.000911577028259	0	0.004370559591283	0.00149445368246	0.000744232200447	0
"BASV76"	0.002128394971894	0.002051559959743	0.001383125864454	0	0.00141706075236	0.001595166163142	0.000247096614776	0	0.00162973885375	0.003972491563795	0	0.000455373406193	0.002610587382161	0.002254830540812	0.001019367991845	0.001113585746102	0.002840420037872	0.002775733361371	0	0	0.001255098839034	0.002215155954125	0	0	0.000818232617546	0.000926140310257	0	0.002047082906858
"BASV88"	0.001091484600971	0.000116126035457	0	0	0.00128524114749	0.00026586102719	0	0	0.001047689263125	4.27e-05	0	0	0.001649746192893	0.000277517605023	0.001019367991845	0	0.001054398347392	8.41e-05	0	0	0.002823972387826	0.000660973954053	0	0	0.001057715334877	0.000147340503905	0	0
"BASV95"	3.64e-05	0.001316095068514	0	0.000809061488673	4.94e-05	0.003069486404834	0.000247096614776	0	0.000135811571146	0.001046516594763	0.000585480093677	0	3.63e-05	0.001977312935789	0	0.001113585746102	8.61e-05	0.000546735359058	0	0	0.000176498274239	0.003215548965665	0	0	3.99e-05	0.001999621124419	0	0
"BASV99"	0.001509887031344	0.001141906015329	0	0.001618122977346	0.001763087215146	0.000990936555891	0.000247096614776	0	0.000931279345	0.001537738669856	0.000585480093677	0.003642987249545	0.002229876722263	0.001456967426371	0	0.001113585746102	0.001699948355999	0.00121964041636	0	0	0.00200031377471	0.00196505770124	0	0.001395673412421	0.001396982517762	0.000968237597087	0.000248077400149	0
"BASV112"	0.001819141001619	0.001722536192614	0	0	0.002043203875496	0.001619335347432	0.000247096614776	0	0.003162469442396	0.002306608004784	0	0	0.00188542422045	0.000936621916953	0	0	0.002367016698227	0.001913573756703	0.000624219725343	0	0.001608095387512	0.001375540390868	0.000911577028259	0	0.002215215135308	0.001241869961481	0	0
"BASV116"	0.000218305510178	0.0031354486181	0	0	0.001318196048707	0.013220543806647	0	0	0.001823753730938	0.00350265452565	0	0.010018214936248	0.000380710659898	0.005671766052659	0.000509683995923	0.001113585746102	0.000624013341367	0.005446325307539	0	0	0.001078589645435	0.006073814712923	0	0	0.000638620579548	0.002757372287356	0	0
"BASV120"	1.82e-05	3.87e-05	0	0	1.65e-05	9.67e-05	0	0	0.000116409918125	2.14e-05	0	0	3.63e-05	0.000208138203767	0	0	6.46e-05	6.31e-05	0	0	3.92e-05	5.36e-05	0	0	0.000119741358665	2.1e-05	0	0
"BASV121"	0.002237543431991	0.001374158086243	0	0.000809061488673	0.000444891166439	0.001498489425982	0.000247096614776	0	0.000310426448333	0.000533937038144	0	0	0.000271936185642	0.00114476012072	0	0	0.00174298502324	0.001240668699401	0	0	0.001549262629432	0.00296545071278	0	0	0.001496766983316	0.003725609884443	0.000496154800298	0
"BASV125"	0.003747430463335	0.000290315088643	0.004149377593361	0	0.003196625418115	0.000580060422961	0.010625154435384	0	0.000737262814792	0.001025159113237	0.000585480093677	0.000910746812386	0.002248005801305	0.000901932216325	0.001019367991845	0.00445434298441	0.002991048373214	0.001450951529808	0.00187265917603	0	0.001764982742391	0.000339419057487	0.000911577028259	0	0.002215215135308	0.000420972868299	0.000992309600595	0
"BASV136"	0.000818613450729	0.001567701478672	0	0	0.000296594110959	0.00038670694864	0	0	0.003181871095417	0.001858100892743	0	0	0.000308194343727	0.00057238006036	0	0	0.000731623343088	0.000883187887709	0	0	0.000313774709758	0.000339419057487	0	0	0.000399137862218	0.000610410659033	0	0
"BASV137"	0.002546797402267	0.000367732445614	0.042415859843246	0.001618122977346	0.008172815501986	0.00012084592145	0.00543612552508	0.001808318264014	0.00161033720073	0.001025159113237	0.002341920374707	0.001366120218579	0.004514140681653	0.000329552155965	0.018348623853211	0.003340757238307	0.003098640041315	0.000420565660814	0.006866416978777	0	0.002804361468466	0.000339419057487	0.004557885141294	0.000697836706211	0.001995689311088	0.000273632364394	0.000992309600595	0
"BASV160"	0.000163722690146	0.002012851281257	0.000461041954818	0.016990291262136	0.000840372530442	0.002344410876133	0.001976772918211	0.011754068716094	0.000368631407396	0.000939729187134	0.001170960187354	0.004098360655738	0.000271936185642	0.002567037846463	0	0.007795100222717	0.000215165002582	0.001324781831563	0	0	0.000392218387198	0.002233020115045	0.000911577028259	0.00976971388695	0.00069853436577	0.00319939379907	0.002976928801786	0.003070624360287
"BASV166"	0.00252860599225	0.001645118835643	0	0	0.000247161759133	0.0002416918429	0	0	0.001474525629584	0.001196018965444	0	0	0	0.000242827904395	0	0	0.004497331726631	0.00273367679529	0	0	0.000392218387198	0.001536317839151	0	0	0.000598706793326	0.003325685659559	0	0
"BASV182"	0.000654890760583	0.000483858481071	0	0	0.000576710771309	0.001716012084592	0	0.000904159132007	0.000213418183229	0.000384434667464	0	0	0.000163161711385	0.000780518264127	0	0	0.000129110001721	0.000714961623383	0	0	0.000274552871039	0.000464468183929	0	0	0.000159655144887	0.000420972868299	0	0
"BASV186"	9.1e-05	9.68e-05	0	0	0.000510800968874	0.001812688821753	0	0	9.7e-05	0.000256289778309	0.000585480093677	0	0.000380710659898	0.001734485031394	0.000509683995923	0	0.000150591668101	8.41e-05	0	0	0.000215765516159	0.000946800528779	0	0	0.000259455144887	0.000463070155128	0	0
"BASV188"	0.000127339870113	0.000309669427886	0	0	0.000263639209741	0.00021752265861	0	0	0.001202902487292	0.000213574815258	0	0	5.44e-05	0.000104069101884	0	0	0.000279738337063	0.000126169698244	0	0	0.000156887354879	0.000107184965522	0	0	0.000239482717331	0.000147340503905	0	0
"BASV200"	0.001509887031344	5.81e-05	0.00875979714154	0	0.000790917629224	0.00012084592145	0.001482579688658	0	0.000485041325521	0	0.001170960187354	0	0.001214648295867	0.000520345509418	0.011213047910296	0	0.001829058357721	0	0.00374531835206	0	0.000529494822717	7.15e-05	0.000911577028259	0	0.001756206593757	0.00012629186049	0.002480774001488	0
"BASV201"	0.00052755089047	0.0023031663699	0.000922083909636	0	0.00199377152367	0.0082416918429	0.000247096614776	0.000904159132007	0.001513328935625	6.41e-05	0	0	0.001559100797679	0.002896590002428	0	0	0.001527801687037	0.000820103038587	0	0	0.000372607467838	0.000875343885098	0	0	0.002833878821745	0.00938769496306	0	0
"BASV210"	0.00649433337578	0.000522567159557	0	0	0.003394354825421	0.001015105740181	0	0	0.001532730588646	0.000897014224083	0	0	0.002266134880348	0.00048565580879	0	0	0.002797383370632	0.000735989906424	0	0	0.001706149984311	0.000660973954053	0	0	0.000957930869322	0.000147340503905	0	0
