"s1cmr2"	"s1cmr3"	"s1cmt2"	"s1cmt3"	"s1rmr2"	"s1rmr3"	"s1rmt2"	"s1rmt3"	"s2cmr2"	"s2cmr3"	"s2cmt2"	"s2cmt3"	"s2rmr2"	"s2rmr3"	"s2rmt2"	"s2rmt3"	"s3cmr2"	"s3cmr3"	"s3cmt3"	"s3rmr2"	"s3rmr3"	"s3rmt3"
"BASV8"	0.004041452548082	0.013304407925051	0.00014905351021	0.000649561545956	0.004234866199013	0.007007561292293	0	0	0.00555217338366	0.014942761053266	0.000290275761974	0	0.003116483981071	0.004281317720998	0.000155134967422	0	0.004231103227833	0.008297633406812	0	0	0	0
"BASV11"	0.004395993973234	0.003743664567655	0	0.000324780772978	0.007950116913484	0.021347284808676	0	0	0.004870327529526	0.003179749360933	0.000145137880987	0	0.004567414711362	0.013557647446277	0.000310269934843	0	0.004545202594091	0.003680905045127	0	0	0	0
"BASV18"	0.008083005096163	0.003686069728153	0.016246832612908	0.010392984735303	0.010236444271239	0.00811502329489	0.029599853827882	0.005555555555556	0.0108852754779	0.00598547985951	0.020464441219158	0.009814612868048	0.009596517552393	0.012404928336581	0.033974557865343	0.003569607343192	0.011658694385012	0.006301226036684	0	0	0	0
"BASV27"	0.008260214481964	0.00143987098756	0.00014905351021	0	0.006027539620681	0.003952493698923	0	0	0.004894679167174	0.002119832907288	0	0	0.004056259996372	0.006504377418558	0	0.00050994390617	0.006965615357611	0.002578713138959	0	0	0	0
"BASV31"	0.000496321900204	0.000691138074029	0	0	0.000311769290725	0.001298403727182	0	0	0.00041397784001	0.001267743209261	0.000145137880987	0	0.000148399755965	0.001289897631528	0.000310269934843	0	0.00053581656597	0.00193403485422	0	0	0	0
"BASV45"	0.005300008862891	0.001420672707725	0.001937695632732	0.028580708022085	0.003611327617563	0.003837928664171	0.000730860588343	0.000757575757576	0.00640452906368	0.002577051769645	0.001741654571843	0.002726281352235	0.004221148614111	0.003979471416418	0.000775674837109	0.001019887812341	0.00458215546071	0.002703493507466	0	0	0	0
"BASV61"	0.000106354692901	0	0	0	2.6e-05	0	0	0	2.44e-05	0	0	0	4.95e-05	2.74e-05	0	0	7.39e-05	4.16e-05	0	0	0	0
"BASV62"	0.002304351679518	0.003014129933958	0.00014905351021	0	0.002702000519615	0.002023982280608	0	0	0.002727383416535	0.002847226551946	0	0	0.002061107721734	0.004336251612372	0	0.00050994390617	0.002937752896181	0.00517822235162	0	0	0	0
"BASV66"	0.001967561818665	0.000364775917678	0	0	0.000285807742271	0.000668319346216	0	0	0.000316571289419	0.000103913377808	0.000145137880987	0	0.002539284713176	0.000411669456871	0.000155134967422	0	0.002512794930067	0.000124776442208	0	0	0	0
"BASV76"	0.000354515643003	0.000383965596683	0	0.000324780772978	0.000467653936087	0.000420071794088	0	0.000252525252525	0.001071472056496	0.001870440800549	0.000145137880987	0.000545256270447	0.000741998779824	0.001399676153361	0.000155134967422	0.00050994390617	0.001053156698631	0.00226677203344	0	0	0	0
"BASV88"	0.002499335283169	9.6e-05	0.00014905351021	0	0.003065731358794	0.001317497899641	0.000365430294171	0	0.004456349689517	0.000415653511233	0	0	0.005358880076508	0.000905672805116	0.000310269934843	0	0.002069360530643	0.000311941105519	0	0	0	0
"BASV95"	0.002197996986617	0.000844724312702	0	0	0.002416212003118	0.003971587871382	0	0	0.003141361256545	0.001288525884822	0	0	0.003033950566392	0.006861157614513	0	0	0.002568224229995	0.001143784053571	0	0	0	0
"BASV99"	0.001116724275459	0.000806327753033	0.00044716053063	0.001623903864891	0.002909846713432	0.000992896967845	0.000913575735428	0.001262626262626	0.004164130037745	0.000831307022466	0.000290275761974	0	0.002028129998186	0.002360238219392	0.000155134967422	0.00050994390617	0.002401936330211	0.001414133011687	0	0	0	0
"BASV112"	0.000779934414606	0.000806327753033	0	0	0.00062353858145	0.000420071794088	0.000182715147086	0	0.001363691708267	0.000540349564603	0.000145137880987	0	0.001681863900935	0.000686115761451	0	0	0.001256397465033	0.001726074117207	0	0	0	0
"BASV116"	0.000230435167952	0.00034557075718	0.00014905351021	0	0.000129903871135	1.91e-05	0	0	0.000292264738829	0.0001039	0	0	0.00023085520306	0.001427120783819	0	0	0.000387975799568	0.000353545031818	0	0	0	0
"BASV120"	1.77e-05	3.84e-05	0	0	7.79e-05	0.00013365920721	0	0	9.74e-05	0	0	0	4.95e-05	2.74e-05	0	0	3.7e-05	2.08e-05	0	0	0	0
"BASV121"	3.55e-05	3.84e-05	0	0	0	0.001393874589475	0	0	0	2.08e-05	0	0	1.65e-05	2.74e-05	0	0	0	8.32e-05	0	0	0	0
"BASV125"	0.000496321900204	3.84e-05	0.00029810702042	0	0.000935307872175	7.64e-05	0	0	0.000560087665896	0.000187044080055	0.000435413642961	0	0.000873909674015	0.000274446304581	0.000155134967422	0	0.000424957966114	4.16e-05	0	0	0	0
"BASV136"	0.001364885225561	0.002399784979266	0	0	0.000597557807223	0.000591919346216	0	0	0.003214416169487	0.002182180933973	0	0	0.000148399755965	0.000192112413206	0	0	0.001496591098054	0.002932246391881	0	0	0	0
"BASV137"	0.001116724275459	0.000172784518507	0.002682963183783	0.001299123091913	0.001195115614445	0.00026731841442	0.004567878677142	0	0.004334591501278	0.00012469605337	0.012191582002903	0.001090512540894	0.003479149834287	0.000411669456871	0.007291343468818	0.001019887812341	0.001699831864457	6.24e-05	0	0	0	0
"BASV160"	0.000389941425153	0.003033329933958	0.001043374571471	0.01104254628126	0.000389730839179	0.001355686244558	0.000730860588343	0.014393939393939	0.000535736028248	0.003990273707837	0.001161103047896	0.018538713195202	0.001187209185945	0.001344786892444	0.00186161960906	0.007649158592555	0.000406481532805	0.002204383812336	0	0	0	0
"BASV166"	0.000726757068156	0.000479956995853	0	0	2.6e-05	0.001451157106851	0	0	0.002435163764763	0.001870440800549	0	0	4.95e-05	0.001619233197025	0	0	0.000702104465754	0.014328494780186	0	0	0	0
"BASV182"	0.002729770451121	0.000710336353863	0	0.000974342318935	0.003351519875292	0.002539524936989	0	0	0.002215999025934	0.000893655049151	0	0	0.002671195607367	0.003156132502676	0	0.001019887812341	0.00351052232877	0.001039803685064	0	0	0	0
"BASV186"	0.001258527404059	0.00092152087237	0	0.000324780772978	0.001870654195895	0.005250926563813	0	0.000252525252525	0.000657487665896	0.00191202347611	0.000145137880987	0.000545256270447	0.00130266463304	0.009907511595356	0	0	0.000868392365538	0.001663689822402	0	0	0	0
"BASV188"	0.000212709385802	0.000518353555521	0	0	0.000207846193817	0.000114565034751	0	0	0.000633142578838	0.000290957457863	0	0	0.000131910894191	0	0	0	0.000314099366258	0.000311941105519	0	0	0	0
"BASV200"	0.001648497739963	0.000345569037014	0.002682963183783	0	0.002650038971161	0.000190941724586	0.005481454412571	0.000505050505051	0.001388043345915	8.31e-05	0.005370101596517	0	0.002737151054463	8.23e-05	0.00372323921812	0	0.002346507030283	6.24e-05	0	0	0	0
"BASV201"	0	0.000518353555521	0	0	0	0	0	0	0	2.08e-05	0	0.000545256270447	1.65e-05	2.74e-05	0	0	5.54e-05	0.000145572515909	0	0	0	0
"BASV210"	8.86e-05	7.68e-05	0	0	2.6e-05	0	0	0	0.000121758188238	2.08e-05	0	0	0.000164888617739	5.49e-05	0.000155134967422	0	5.54e-05	6.24e-05	0	0	0	0
"BASV230"	0.000124080475051	0.000249577637844	0.00014905351021	0.000324780772978	2.6e-05	0.0001337	0.000182715147086	0.00050505050505	0.000219213101181	0.000103913377808	0.000145137880987	0	0.000214377479513	0	0	0.00050994390617	0.000147835033165	0.000145572515909	0	0	0	0
"BASV232"	0.001524417264912	0.000153586238673	0.001639588612312	0.002273465410848	0.001766692647441	0.000381883449171	0.001461721176686	0	0.002897844880068	0.00024939210674	0.000725689404935	0	0.001648886177387	0.000713560391909	0.002327024511325	0.00050994390617	0.001422685364817	0.000124776442208	0	0	0	0
"BASV236"	0.000407692989453	0.001497465827062	0	0	0.000311769290725	0.000611013518674	0	0	0.000438329477657	0.002410790365152	0	0	0.000346266097251	0.000411669456871	0.000155134967422	0	0.000443434399424	0.000561493989935	0	0	0	0
"BASV250"	0.001825755561464	0.000364767316848	0.00014905351021	0	0.000675500129904	5.73e-05	0.000182715147086	0	0.000535736028248	0.000187044080055	0.000580551523948	0	0.000560621300312	8.23e-05	0	0	0.000868392365538	0.000249552884415	0	0	0	0
"BASV260"	0.00125853053266	0.000767931193365	0	0	0.000519615484541	0.001011991140304	0	0	0.001461098258858	0.00024939210674	0	0	0.000643065609181	0.000576337239619	0	0	0.000905345232156	0.000603086137337	0	0	0	0
"BASV262"	0.000531773464504	0.000383965596683	0	0	0.000155884645362	0.000362789276713	0	0	0.000730549129429	0.000789741671343	0	0	0.000148399755965	0.000631226500535	0	0	0.000683628032445	0.001143784053571	0	0	0	0
"BASV267"	0.000372241425153	0.000345569037014	0.000894321061261	0.000324780772978	0.000415692387633	0.00013365920721	0	0.000252525252525	0.000243516376476	0.000228609431178	0.000580551523948	0	0.000346266097251	0.000164667782748	0.000155134967422	0.001529831718511	0.00027714649964	0.000311941105519	0	0	0	0
"BASV269"	0.001098998493309	0.000479956995853	0.00014905351021	0	0.001013250194856	0.000439165966547	0	0	0.000974065505905	0.000519566889041	0	0.000545256270447	0.00153346414497	0.002168125806186	0.000620539869687	0	0.000665151599135	0.000956619390259	0	0	0	0
"BASV273"	7.09e-05	0.000211181078175	0	0	0.000103923096908	0.000229130069503	0	0	9.74e-05	0.00024939210674	0	0	0.000247332926608	0.000603781870077	0	0	7.39e-05	0.000270348958117	0	0	0	0
"BASV280"	0.000106354692901	0.001075103670711	0	0	0	0.00093561445047	0	0	9.74e-05	0.001621048693809	0	0	6.6e-05	0.004034360677333	0	0	0.000240193633021	0.001726074117207	0	0	0	0
"BASV285"	7.09e-05	0	0	0	5.2e-05	9.55e-05	0	0	0	0	0	0	3.3e-05	5.49e-05	0	0	0	2.08e-05	0	0	0	0
"BASV294"	0.000389967207303	0.000940715711872	0	0	0.000597557807223	0.006740242877874	0.000182715147086	0	9.74e-05	0.000914437724713	0	0	0.002935017395749	0.00337568954634	0	0	0.000517340132661	0.000665474358441	0	0	0	0
"BASV295"	0.000336789860853	0.00088312087237	0.00014905351021	0.000649561545956	0.000103923096908	0.001565722141602	0	0.000252525252525	9.74e-05	0.000311740133425	0	0	6.6e-05	0.001921124132064	0	0.00050994390617	0.000166287899784	0.001601297674999	0	0	0	0
"BASV306"	7.09e-05	0.002015819382583	0	0	0	1.91e-05	0	0	9.74e-05	0.00012469605337	0	0	4.95e-05	0	0	0	0.000240193633021	0.000499105768831	0	0	0	0
"BASV322"	5.32e-05	0	0.00014905351021	0	0	0.00013365920721	0	0	0.000121758188238	0	0	0	4.95e-05	8.23e-05	0	0	5.54e-05	6.24e-05	0	0	0	0
"BASV334"	0.000159532039351	5.76e-05	0.007303622000298	0.000649561545956	0.000649519355677	0.000229130069503	0.012972775443084	0.001515151515152	0.000633142578838	0.000976785751398	0.015965166908563	0.001090512540894	0.001483997559648	8.23e-05	0.012255662426311	0.00050994390617	0.000351052232877	2.08e-05	0	0	0	0
"BASV338"	0.002304351679518	0.000115189679005	0.000596214040841	0.001299123091913	0.001558846453624	1.91e-05	0.000730860588343	0	0.002629976865944	4.16e-05	0.000580551523948	0.001090512540894	0.003792438207991	8.23e-05	0.001706484641638	0.001529831718511	0.002235648430427	4.16e-05	0	0	0	0
"BASV347"	0.000992643800408	0.000115189679005	0.007154568490088	0.000324780772978	0.001480904130943	5.73e-05	0.012059199707656	0.002272727272727	0.001802021185925	0.000103913377808	0.016981132075472	0	0.001385064389005	0.00013722315229	0.012721067328576	0.001019887812341	0.000849915932228	6.24e-05	0	0	0	0
"BASV348"	0.000957166453957	0.001132698510213	0	0.000324780772978	0.000285807742271	0.001355697899641	0.000182715147086	0	0.001315036795324	0.001059916453644	0	0	0.000181377479513	0.000686126500535	0	0	0.000960774532084	0.001642889822402	0	0	0	0
"BASV359"	0.000106354692901	0.000575948395024	0	0	0.000155884645362	0.000171847552127	0	0	0.000462681115305	0.000457218862356	0	0	0.000824443088694	0.000109778521832	0	0	0.00025867006633	0.000291145031818	0	0	0	0
"BASV384"	0.001453514136311	0.000537551835356	0	0	0.001870615744349	0.000916520278011	0	0	0.000803604042372	0.001475569964877	0.000145137880987	0	0.001121242600623	0.00197601339298	0.000155134967422	0	0.001810690464313	0.000707066505844	0	0	0	0
"BASV393"	0.000602676593105	0.000307172477346	0	0.000324780772978	0.002052481163939	0.000992896967845	0	0	0.000827955680019	0.000270174782301	0	0	0.000692532194503	0.000356780195955	0	0	0.000554292999279	6.24e-05	0	0	0	0
"BASV396"	0.002818399361872	1.92e-05	0	0	0.003559366069109	0.000439165966547	0	0	0.00236210885182	0.000103913377808	0	0	0.001516975283196	0.000548892609161	0	0	0.001588973264601	8.32e-05	0	0	0	0
"BASV398"	0.000443144553753	0.001228689909384	0	0	0.00025980774227	0.00066829603605	0	0	0.000316571289419	0.001267743209261	0	0.000545256270447	0.000247332926608	0.000356746304581	0	0	0.000388005099495	0.000707066505844	0	0	0	0
"BASV442"	0.000372241425153	0.001708646905237	0	0	7.79e-05	0.000381883449171	0	0	0.000292219651772	0.00024939210674	0	0	4.95e-05	0.000164667782748	0	0	0.000424957966114	0.001642889822402	0	0	0	0
"BASV453"	0.000336838296553	9.6e-05	0	0	0.000337788516498	7.64e-05	0	0	0.0001219	0.0001247	0.000580551523948	0	0.000263888617739	0.00024702315229	0	0	0.000111	0.000353537179221	0	0	0	0
"BASV461"	0.000212709385802	0.000287974197512	0.00014905351021	0	0.000701480904131	0.00040097762163	0.000730860588343	0.000252525252525	0.000316571289419	0.00049878421348	0.000290275761974	0	0.001038798291754	0.000274446304581	0	0	0.000443434399424	0.001206172274675	0	0	0	0
"BASV497"	3.55e-05	0	0	0.000649561545956	2.6e-05	0.000305506759337	0	0.000252525252525	4.87e-05	4.16e-05	0	0	0.000164888617739	0.000274446304581	0	0	5.54e-05	0	0	0	0	0
"BASV513"	0.000124080475051	0.000211181078175	0	0.000324780772978	0.000675500129904	0.001412968761934	0	0	0.000219164738829	0.00012469605337	0	0	0.000230844064834	0.000219557043664	0	0	5.54e-05	0.000291145031818	0	0	0	0
"BASV517"	0.000177257821501	7.68e-05	0	0	0.000207846193817	0.00040097762163	0	0	0.000146109825886	2.08e-05	0	0	0.000362754959025	0.000548892609161	0	0	0.000184764333093	2.08e-05	0	0	0	0
"BASV525"	8.86e-05	0.000345577637844	0	0	0.000155903871135	0.000324606759337	0	0	9.75e-05	0.0001039	0	0	0.0001649	0.000411669456871	0	0	3.7e-05	0.000207976442208	0	0	0	0
"BASV556"	0.000265886732252	3.84e-05	0.00014905351021	0.003572588502761	0.000259807742271	0.000305506759337	0	0	0.000194813101181	4.16e-05	0	0	0.000148399755965	0	0	0	0.000147811466475	2.08e-05	0	0	0	0
"BASV570"	0.000549521900204	0.000134387958839	0.004322551796094	0.002273465410848	0.000337707742271	0.0001146	0.006395030147999	0.001515151515152	0.000779249129429	4.16e-05	0.007837445573295	0	0.000939865121111	5.48e-05	0.007601613403661	0.00050994390617	0.000517340132661	4.16e-05	0	0	0	0
"BASV584"	0.000425418771603	5.76e-05	0	0	0.000415692387633	0.000706484380967	0	0	0.000170461463533	0.000166261404493	0	0	0.000395732682573	0.000686115761451	0	0	0.000240193633021	6.24e-05	0	0	0	0
"BASV588"	0.000194983603652	0.000211181078175	0	0	0.000233826968044	0.00013365920721	0	0	0.000267868014124	0.000145478728932	0	0	1.65e-05	0.000164667782748	0	0	0.000129335033165	0.000207960737013	0	0	0	0
"BASV603"	1.77e-05	0	0	0	0.000493634710314	9.55e-05	0	0	0.000170461463533	0	0	0	0.000115422032417	0	0	0	5.54e-05	0.000103980368506	0	0	0	0
"BASV627"	1.77e-05	0.000537551835356	0	0.000324780772978	0	0.00147025127931	0	0	0	0.000768958995781	0	0	0	0.000795894283283	0	0	1.85e-05	0.002620305286362	0	0	0	0
"BASV645"	3.55e-05	0.001727845185071	0	0.000324780772978	5.2e-05	7.64e-05	0	0	2.44e-05	2.08e-05	0.000145137880987	0	1.65e-05	0	0	0.00050994390617	5.54e-05	0.000187164663312	0	0	0	0
"BASV673"	0.000797660196756	0.000153586238673	0	0	0.005170174071187	0.000190941724586	0.000182715147086	0	0.006185315962498	6.23e-05	0.000725689404935	0	0.001385064389005	0.000466558717787	0.000465404902265	0	0.002272601297046	0.000103980368506	0	0	0	0
"BASV729"	0.000389967207303	0.000940715711872	0	0	0.000415692387633	0.000649201863591	0	0	0.000146109825886	0.000228609431178	0	0	0.000181377479513	0.000686115761451	0	0.00050994390617	0.000351052232877	0.001434929085389	0	0	0	0
"BASV733"	7.09e-05	7.68e-05	0	0	0.000129903871135	0.00013365920721	0	0	0.000121758188238	6.23e-05	0	0	4.95e-05	5.49e-05	0	0	3.7e-05	4.16e-05	0	0	0	0
"BASV741"	0.000212709385802	7.68e-05	0.003428230734834	0.009743423189347	0.000207846193817	0.000305506759337	0.002740727206285	0.003030303030303	0.000657494216486	0.000540349564603	0.005370101596517	0.005452562704471	0.000131910894191	0.000301890935039	0.003102699348433	0.007139214686385	0.000129335033165	0.000145572515909	0	0	0	0
"BASV763"	0.000389967207303	0.000115189679005	0	0	0.000129903871135	0.000229130069503	0	0	0.000292219651772	0.000187044080055	0.000290275761974	0	0.000197866341286	0.000109778521832	0	0	9.24e-05	0.000395125400324	0	0	0	0
"BASV777"	0.000354515643003	0.000537551835356	0	0	0.000129903871135	0.000381883449171	0	0	0.000730549129429	0.000727393644658	0	0.000545256270447	0.000280310650156	0.000164667782748	0	0.00050994390617	0.000480387266042	0.000540697916233	0	0	0	0
"BASV792"	5.32e-05	0.000940715711872	0	0	0.000259807742271	0.00040097762163	0	0	0.000243516376476	0.001101481804768	0	0.000545256270447	0.000131910894191	0.000466558717787	0	0.00050994390617	0.000110858599856	0.001913238780518	0	0	0	0
"BASV794"	0.001010369582558	0.000115189679005	0	0	0.001558846453624	3.82e-05	0	0	0.00092536223061	0.000187044080055	0.000145137880987	0	0.000923376259337	0	0	0	0.00160744969791	0.000207960737013	0	0	0	0
"BASV805"	0.000124080475051	9.6e-05	0	0	0.000103923096908	0.000190941724586	0	0	7.31e-05	0.00037408816011	0	0	9.89e-05	0.000109778521832	0	0	7.39e-05	0.000103980368506	0	0	0	0
"BASV820"	8.86e-05	0.000172784518507	0	0	0.000129903871135	0.000229130069503	0	0	9.74e-05	0.00012469605337	0	0	0.000115422032417	0.000109778521832	0	0.00050994390617	0.000129335033165	0.000103980368506	0	0	0	0
"BASV824"	0.001152175839759	3.84e-05	0.00029810702042	0	0.002520135100026	0	0.001461721176686	0	0.001948131011811	0	0	0	0.001104753738849	0	0.000620539869687	0	0.001662878997838	4.16e-05	0	0	0	0
"BASV840"	0.000620402375255	0.000153586238673	0	0.000324780772978	0.000519615484541	0.000381883449171	0.000182715147086	0.000252525252525	0.00041397784001	8.31e-05	0	0	0.000131910894191	0.000219557043664	0	0	0.000406481532805	0.000332737179221	0	0	0	0
"BASV851"	0.000584999246654	0.000921517432039	0	0	0.000155923096908	0.000439165966547	0	0.000252525252525	0.000462677840009	0.000623432240164	0	0	0.000230910894191	0.000384190935038	0	0.00050994390617	0.000498905099495	0.000519901842532	0	0	0	0
"BASV858"	0.000584950810955	0.000115189679005	0	0.000324780772978	0.000415692387633	0.000496448483923	0	0.000252525252525	0.000438329477657	0.000436436186795	0	0	0.000445199267895	0.000384224826413	0	0.00050994390617	0.000461910832733	0.000311941105519	0	0	0	0
"BASV878"	0	0.000211182798341	0	0	5.2e-05	9.55e-05	0	0	0	0	0	0	6.6e-05	0.000109778521832	0.000155134967422	0	0	0	0	0	0	0
"BASV879"	0.000319064078702	0.000211181078175	0	0	0.000597557807223	0.000477354311464	0	0	0.000194813101181	0.000207826755617	0	0	0.00021435520306	0.000329335565497	0	0	0.000443434399424	0.000207960737013	0	0	0	0
"BASV924"	0.000159532039351	0.000153586238673	0	0	2.6e-05	0.000190941724586	0	0	4.87e-05	8.31e-05	0	0	0.000148399755965	8.23e-05	0	0	0.000110858599856	0.00016636858961	0	0	0	0
"BASV932"	0.000974937543207	7.68e-05	0.011775227306603	0.001623903864891	0.000571577032996	0.000152753379669	0.017723369267312	0.000252525252525	0.000365274564714	0.000311740133425	0.010885341074021	0.00381679389313	0.001418053250779	0.000247001674122	0.017064846416383	0.001529831718511	0.002013931230715	4.16e-05	0	0	0	0
"BASV939"	0.000177257821501	3.84e-05	0	0	0.000363730839179	0.000362789276713	0	0	0.000267868014124	0.000103913377808	0	0	0.000313288373704	0.000219557043664	0	0	0.000166287899784	0.000124776442208	0	0	0	0
"BASV952"	0.000159580475051	9.6e-05	0	0.000324780772978	0.00020786541959	1.91e-05	0	0	4.87e-05	0.000145478728932	0.000145137880987	0.000545256270447	0.000148399755965	8.23e-05	0	0	0.000203287899784	6.24e-05	0	0	0	0
"BASV973"	0.000212709385802	9.6e-05	0	0	0.00062353858145	0.000821049415718	0	0.000757575757576	0.00041397784001	0.000332522808986	0.000145137880987	0.000545256270447	0.00029679951193	0.000219557043664	0.000155134967422	0.001019887812341	0.000314099366258	0.000145572515909	0	0	0	0
