"rn"	"deg.mb"	"bet.mb"	"clo.mb"	"eig.mb.vector"	"hubScore"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1"	"BASV10005"	14	810.106168304159	0.000517063081695967	0.0140191192626286	0.0140191192626287	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Aestuariimicrobium"	"kwangyangense"
"2"	"BASV10017"	8	230.872610178461	0.000510204081632653	0.0320002631410672	0.0320002631410673	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Oceanobacillus"	"caeni"
"3"	"BASV10080"	10	451.308303351495	0.00056274620146314	0.0509420564335204	0.0509420564335204	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Ancylobacter"	"abiegnus"
"4"	"BASV10184"	5	86.1644960180492	0.000477783086478739	0.0189508762200763	0.0189508762200763	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Ornithinibacillus"	"scapharcae"
"5"	"BASV1035"	24	812.089284987339	0.000609384521633151	0.674641204109642	0.674641204109642	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Hydrogenophilaceae"	"Thiobacillus"	"thioparus"
"6"	"BASV10478"	6	410.815754981218	0.000493827160493827	0.0196233558092349	0.0196233558092349	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Pseudoxanthomonas"	"indica"
"7"	"BASV1052"	12	282.770070309825	0.000564334085778781	0.156813459184905	0.156813459184905	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Roseomonas"	"aquatica"
"8"	"BASV10565"	10	232.033520007173	0.00049800796812749	0.0107281076036834	0.0107281076036834	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Steroidobacterales"	"Steroidobacteraceae"	"Steroidobacter"	"agariperforans"
"9"	"BASV1058"	13	552.343752264764	0.0005941770647653	0.25922517669984	0.25922517669984	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Afipia"	"felis"
"10"	"BASV10699"	11	171.744155996944	0.000482160077145612	0.00816608774470144	0.0081660877447015	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Asticcacaulis"	"solisilvae"
"11"	"BASV1076"	15	747.819361775678	0.000592417061611374	0.3051990116463	0.3051990116463	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiales_Incertae_Sedis"	"Alsobacter"	"metallidurans"
"12"	"BASV10875"	12	257.428695766858	0.000473260766682442	0.00759657739210875	0.00759657739210879	"Bacteria"	"Firmicutes"	"Bacilli"	"Paenibacillales"	"Paenibacillaceae"	"Paenibacillus"	"illinoisensis"
