"from"	"to"	"weight"	"color"	"arrow.size"
"1"	"BASV8"	"BASV11"	1	"darkgreen"	5
"2"	"BASV8"	"BASV62"	1	"darkgreen"	5
"3"	"BASV8"	"BASV137"	1	"darkred"	5
"4"	"BASV8"	"BASV160"	1	"darkred"	5
"5"	"BASV8"	"BASV236"	1	"darkgreen"	5
"6"	"BASV8"	"BASV267"	1	"darkred"	5
"7"	"BASV8"	"BASV442"	1	"darkgreen"	5
"8"	"BASV8"	"BASV1035"	1	"darkgreen"	5
"9"	"BASV8"	"BASV4672"	1	"darkred"	5
"10"	"BASV8"	"BASV16127"	1	"darkred"	5
"11"	"BASV8"	"FASV18"	1	"darkgreen"	5
"12"	"BASV8"	"FASV30"	1	"darkgreen"	5
"13"	"BASV8"	"FASV43"	1	"darkgreen"	5
"14"	"BASV8"	"FASV71"	1	"darkgreen"	5
"15"	"BASV8"	"FASV76"	1	"darkgreen"	5
"16"	"BASV8"	"FASV84"	1	"darkgreen"	5
"17"	"BASV8"	"FASV102"	1	"darkred"	5
"18"	"BASV8"	"FASV149"	1	"darkgreen"	5
"19"	"BASV8"	"FASV410"	1	"darkred"	5
"20"	"BASV8"	"FASV436"	1	"darkred"	5
"21"	"BASV11"	"BASV31"	1	"darkgreen"	5
"22"	"BASV11"	"BASV45"	1	"darkgreen"	5
"23"	"BASV11"	"BASV273"	1	"darkgreen"	5
"24"	"BASV11"	"BASV294"	1	"darkgreen"	5
"25"	"BASV11"	"BASV334"	1	"darkred"	5
"26"	"BASV11"	"BASV453"	1	"darkgreen"	5
"27"	"BASV11"	"BASV461"	1	"darkred"	5
"28"	"BASV11"	"BASV1035"	1	"darkgreen"	5
"29"	"BASV11"	"BASV1362"	1	"darkred"	5
"30"	"BASV11"	"BASV2697"	1	"darkred"	5
"31"	"BASV11"	"BASV6187"	1	"darkred"	5
"32"	"BASV11"	"BASV9661"	1	"darkred"	5
"33"	"BASV11"	"BASV11151"	1	"darkred"	5
"34"	"BASV11"	"BASV19381"	1	"darkred"	5
"35"	"BASV11"	"BASV19453"	1	"darkred"	5
"36"	"BASV11"	"FASV43"	1	"darkgreen"	5
"37"	"BASV11"	"FASV46"	1	"darkgreen"	5
"38"	"BASV11"	"FASV56"	1	"darkgreen"	5
"39"	"BASV11"	"FASV108"	1	"darkred"	5
"40"	"BASV11"	"FASV247"	1	"darkgreen"	5
"41"	"BASV11"	"FASV293"	1	"darkgreen"	5
"42"	"BASV18"	"BASV45"	1	"darkred"	5
"43"	"BASV18"	"BASV273"	1	"darkred"	5
"44"	"BASV18"	"BASV280"	1	"darkred"	5
"45"	"BASV18"	"BASV295"	1	"darkred"	5
"46"	"BASV18"	"BASV306"	1	"darkgreen"	5
"47"	"BASV18"	"BASV334"	1	"darkgreen"	5
"48"	"BASV18"	"BASV347"	1	"darkgreen"	5
"49"	"BASV18"	"BASV461"	1	"darkgreen"	5
"50"	"BASV18"	"BASV932"	1	"darkgreen"	5
"51"	"BASV18"	"BASV1457"	1	"darkgreen"	5
"52"	"BASV18"	"BASV3276"	1	"darkgreen"	5
"53"	"BASV18"	"BASV3435"	1	"darkred"	5
"54"	"BASV18"	"BASV4672"	1	"darkred"	5
"55"	"BASV18"	"FASV16"	1	"darkgreen"	5
"56"	"BASV18"	"FASV37"	1	"darkgreen"	5
"57"	"BASV18"	"FASV43"	1	"darkred"	5
"58"	"BASV18"	"FASV137"	1	"darkgreen"	5
"59"	"BASV18"	"FASV149"	1	"darkred"	5
"60"	"BASV18"	"FASV167"	1	"darkred"	5
"61"	"BASV18"	"FASV206"	1	"darkred"	5
"62"	"BASV18"	"FASV621"	1	"darkred"	5
"63"	"BASV18"	"FASV2088"	1	"darkred"	5
"64"	"BASV27"	"BASV76"	1	"darkgreen"	5
"65"	"BASV27"	"BASV95"	1	"darkgreen"	5
"66"	"BASV27"	"BASV210"	1	"darkgreen"	5
"67"	"BASV27"	"BASV262"	1	"darkgreen"	5
"68"	"BASV27"	"BASV269"	1	"darkgreen"	5
"69"	"BASV27"	"BASV348"	1	"darkgreen"	5
"70"	"BASV27"	"BASV448"	1	"darkgreen"	5
"71"	"BASV27"	"BASV824"	1	"darkgreen"	5
"72"	"BASV27"	"BASV879"	1	"darkgreen"	5
"73"	"BASV27"	"BASV924"	1	"darkgreen"	5
"74"	"BASV27"	"BASV1076"	1	"darkgreen"	5
"75"	"BASV27"	"BASV1657"	1	"darkgreen"	5
"76"	"BASV27"	"BASV2248"	1	"darkgreen"	5
"77"	"BASV27"	"FASV51"	1	"darkgreen"	5
"78"	"BASV27"	"FASV76"	1	"darkgreen"	5
"79"	"BASV27"	"FASV501"	1	"darkgreen"	5
"80"	"BASV27"	"FASV656"	1	"darkgreen"	5
"81"	"BASV31"	"BASV45"	1	"darkgreen"	5
"82"	"BASV31"	"BASV61"	1	"darkgreen"	5
"83"	"BASV31"	"BASV76"	1	"darkgreen"	5
"84"	"BASV31"	"BASV121"	1	"darkgreen"	5
"85"	"BASV31"	"BASV201"	1	"darkgreen"	5
"86"	"BASV31"	"BASV210"	1	"darkgreen"	5
"87"	"BASV31"	"BASV262"	1	"darkgreen"	5
"88"	"BASV31"	"BASV273"	1	"darkgreen"	5
"89"	"BASV31"	"BASV448"	1	"darkgreen"	5
"90"	"BASV31"	"BASV1076"	1	"darkgreen"	5
"91"	"BASV31"	"FASV20"	1	"darkgreen"	5
"92"	"BASV31"	"FASV66"	1	"darkred"	5
"93"	"BASV31"	"FASV167"	1	"darkgreen"	5
"94"	"BASV31"	"FASV247"	1	"darkgreen"	5
"95"	"BASV45"	"BASV76"	1	"darkgreen"	5
"96"	"BASV45"	"BASV99"	1	"darkgreen"	5
"97"	"BASV45"	"BASV112"	1	"darkgreen"	5
"98"	"BASV45"	"BASV121"	1	"darkgreen"	5
"99"	"BASV45"	"BASV267"	1	"darkred"	5
"100"	"BASV45"	"BASV269"	1	"darkgreen"	5
"101"	"BASV45"	"BASV348"	1	"darkgreen"	5
"102"	"BASV45"	"BASV453"	1	"darkgreen"	5
"103"	"BASV45"	"BASV461"	1	"darkred"	5
"104"	"BASV45"	"BASV932"	1	"darkred"	5
"105"	"BASV45"	"BASV15780"	1	"darkred"	5
"106"	"BASV45"	"FASV20"	1	"darkgreen"	5
"107"	"BASV45"	"FASV46"	1	"darkgreen"	5
"108"	"BASV45"	"FASV99"	1	"darkgreen"	5
"109"	"BASV45"	"FASV125"	1	"darkgreen"	5
"110"	"BASV45"	"FASV446"	1	"darkgreen"	5
"111"	"BASV45"	"FASV494"	1	"darkgreen"	5
"112"	"BASV61"	"BASV201"	1	"darkgreen"	5
"113"	"BASV61"	"BASV210"	1	"darkgreen"	5
"114"	"BASV61"	"BASV1738"	1	"darkgreen"	5
"115"	"BASV61"	"FASV37"	1	"darkgreen"	5
"116"	"BASV61"	"FASV46"	1	"darkgreen"	5
"117"	"BASV61"	"FASV49"	1	"darkgreen"	5
"118"	"BASV61"	"FASV56"	1	"darkgreen"	5
"119"	"BASV61"	"FASV71"	1	"darkgreen"	5
"120"	"BASV61"	"FASV82"	1	"darkgreen"	5
"121"	"BASV61"	"FASV102"	1	"darkred"	5
"122"	"BASV61"	"FASV122"	1	"darkgreen"	5
"123"	"BASV61"	"FASV129"	1	"darkred"	5
"124"	"BASV61"	"FASV137"	1	"darkgreen"	5
"125"	"BASV61"	"FASV167"	1	"darkgreen"	5
"126"	"BASV61"	"FASV197"	1	"darkgreen"	5
"127"	"BASV61"	"FASV206"	1	"darkgreen"	5
"128"	"BASV61"	"FASV431"	1	"darkgreen"	5
"129"	"BASV62"	"BASV112"	1	"darkgreen"	5
"130"	"BASV62"	"BASV295"	1	"darkgreen"	5
"131"	"BASV62"	"BASV348"	1	"darkgreen"	5
"132"	"BASV62"	"BASV359"	1	"darkgreen"	5
"133"	"BASV62"	"BASV792"	1	"darkgreen"	5
"134"	"BASV62"	"BASV1035"	1	"darkgreen"	5
"135"	"BASV62"	"FASV3"	1	"darkred"	5
"136"	"BASV62"	"FASV11"	1	"darkgreen"	5
"137"	"BASV62"	"FASV49"	1	"darkgreen"	5
"138"	"BASV62"	"FASV69"	1	"darkgreen"	5
"139"	"BASV62"	"FASV125"	1	"darkgreen"	5
"140"	"BASV62"	"FASV129"	1	"darkgreen"	5
"141"	"BASV62"	"FASV190"	1	"darkgreen"	5
"142"	"BASV66"	"BASV285"	1	"darkgreen"	5
"143"	"BASV66"	"BASV453"	1	"darkgreen"	5
"144"	"BASV66"	"BASV851"	1	"darkgreen"	5
"145"	"BASV66"	"BASV1457"	1	"darkred"	5
"146"	"BASV66"	"BASV1573"	1	"darkgreen"	5
"147"	"BASV66"	"BASV3377"	1	"darkgreen"	5
"148"	"BASV66"	"FASV8"	1	"darkred"	5
"149"	"BASV66"	"FASV11"	1	"darkgreen"	5
"150"	"BASV66"	"FASV20"	1	"darkgreen"	5
"151"	"BASV66"	"FASV30"	1	"darkred"	5
"152"	"BASV66"	"FASV69"	1	"darkred"	5
"153"	"BASV66"	"FASV78"	1	"darkgreen"	5
"154"	"BASV66"	"FASV99"	1	"darkgreen"	5
"155"	"BASV66"	"FASV122"	1	"darkred"	5
"156"	"BASV66"	"FASV167"	1	"darkred"	5
"157"	"BASV66"	"FASV341"	1	"darkgreen"	5
"158"	"BASV66"	"FASV349"	1	"darkgreen"	5
"159"	"BASV76"	"BASV99"	1	"darkgreen"	5
"160"	"BASV76"	"BASV112"	1	"darkgreen"	5
"161"	"BASV76"	"BASV160"	1	"darkred"	5
"162"	"BASV76"	"BASV166"	1	"darkgreen"	5
"163"	"BASV76"	"BASV201"	1	"darkgreen"	5
"164"	"BASV76"	"BASV236"	1	"darkgreen"	5
"165"	"BASV76"	"BASV273"	1	"darkgreen"	5
"166"	"BASV76"	"BASV347"	1	"darkred"	5
"167"	"BASV76"	"BASV348"	1	"darkgreen"	5
"168"	"BASV76"	"BASV763"	1	"darkgreen"	5
"169"	"BASV76"	"BASV879"	1	"darkgreen"	5
"170"	"BASV76"	"BASV1035"	1	"darkgreen"	5
"171"	"BASV76"	"BASV1362"	1	"darkred"	5
"172"	"BASV76"	"BASV1457"	1	"darkred"	5
"173"	"BASV76"	"BASV1657"	1	"darkgreen"	5
"174"	"BASV76"	"BASV15706"	1	"darkred"	5
"175"	"BASV76"	"FASV10"	1	"darkgreen"	5
"176"	"BASV76"	"FASV19"	1	"darkgreen"	5
"177"	"BASV76"	"FASV58"	1	"darkgreen"	5
"178"	"BASV76"	"FASV66"	1	"darkred"	5
"179"	"BASV76"	"FASV118"	1	"darkgreen"	5
"180"	"BASV76"	"FASV129"	1	"darkgreen"	5
"181"	"BASV76"	"FASV142"	1	"darkred"	5
"182"	"BASV76"	"FASV171"	1	"darkgreen"	5
"183"	"BASV76"	"FASV195"	1	"darkred"	5
"184"	"BASV76"	"FASV436"	1	"darkred"	5
"185"	"BASV76"	"FASV810"	1	"darkred"	5
"186"	"BASV88"	"BASV125"	1	"darkgreen"	5
"187"	"BASV88"	"BASV137"	1	"darkgreen"	5
"188"	"BASV88"	"BASV448"	1	"darkgreen"	5
"189"	"BASV88"	"BASV453"	1	"darkgreen"	5
"190"	"BASV88"	"BASV584"	1	"darkgreen"	5
"191"	"BASV88"	"BASV879"	1	"darkgreen"	5
"192"	"BASV88"	"BASV1573"	1	"darkgreen"	5
"193"	"BASV88"	"FASV36"	1	"darkgreen"	5
"194"	"BASV88"	"FASV171"	1	"darkgreen"	5
"195"	"BASV88"	"FASV291"	1	"darkgreen"	5
"196"	"BASV88"	"FASV404"	1	"darkgreen"	5
"197"	"BASV88"	"FASV463"	1	"darkgreen"	5
"198"	"BASV88"	"FASV501"	1	"darkgreen"	5
"199"	"BASV88"	"FASV520"	1	"darkgreen"	5
"200"	"BASV95"	"BASV182"	1	"darkgreen"	5
"201"	"BASV95"	"BASV201"	1	"darkgreen"	5
"202"	"BASV95"	"BASV236"	1	"darkgreen"	5
"203"	"BASV95"	"BASV273"	1	"darkgreen"	5
"204"	"BASV95"	"BASV280"	1	"darkgreen"	5
"205"	"BASV95"	"BASV295"	1	"darkgreen"	5
"206"	"BASV95"	"BASV584"	1	"darkgreen"	5
"207"	"BASV95"	"BASV729"	1	"darkgreen"	5
"208"	"BASV95"	"BASV1035"	1	"darkgreen"	5
"209"	"BASV95"	"BASV1612"	1	"darkgreen"	5
"210"	"BASV95"	"BASV1657"	1	"darkgreen"	5
"211"	"BASV95"	"BASV1811"	1	"darkgreen"	5
"212"	"BASV95"	"BASV2248"	1	"darkgreen"	5
"213"	"BASV95"	"FASV3"	1	"darkred"	5
"214"	"BASV95"	"FASV49"	1	"darkgreen"	5
"215"	"BASV95"	"FASV197"	1	"darkgreen"	5
"216"	"BASV95"	"FASV309"	1	"darkred"	5
"217"	"BASV95"	"FASV386"	1	"darkgreen"	5
"218"	"BASV95"	"FASV431"	1	"darkgreen"	5
"219"	"BASV95"	"FASV485"	1	"darkgreen"	5
"220"	"BASV99"	"BASV116"	1	"darkgreen"	5
"221"	"BASV99"	"BASV121"	1	"darkgreen"	5
"222"	"BASV99"	"BASV137"	1	"darkgreen"	5
"223"	"BASV99"	"BASV210"	1	"darkgreen"	5
"224"	"BASV99"	"BASV250"	1	"darkgreen"	5
"225"	"BASV99"	"BASV269"	1	"darkgreen"	5
"226"	"BASV99"	"BASV461"	1	"darkred"	5
"227"	"BASV99"	"BASV2935"	1	"darkred"	5
"228"	"BASV99"	"BASV9661"	1	"darkred"	5
"229"	"BASV99"	"FASV11"	1	"darkgreen"	5
"230"	"BASV99"	"FASV20"	1	"darkgreen"	5
"231"	"BASV99"	"FASV43"	1	"darkred"	5
"232"	"BASV99"	"FASV58"	1	"darkgreen"	5
"233"	"BASV99"	"FASV84"	1	"darkgreen"	5
"234"	"BASV99"	"FASV100"	1	"darkgreen"	5
"235"	"BASV99"	"FASV149"	1	"darkgreen"	5
"236"	"BASV99"	"FASV250"	1	"darkgreen"	5
"237"	"BASV99"	"FASV436"	1	"darkgreen"	5
"238"	"BASV99"	"FASV656"	1	"darkgreen"	5
"239"	"BASV112"	"BASV136"	1	"darkgreen"	5
"240"	"BASV112"	"BASV262"	1	"darkgreen"	5
"241"	"BASV112"	"BASV285"	1	"darkgreen"	5
