"from"	"to"	"weight"	"color"	"arrow.size"
"1"	"BASV31"	"BASV76"	1	"darkgreen"	5
"2"	"BASV136"	"BASV260"	1	"darkgreen"	5
"3"	"BASV76"	"BASV1362"	1	"darkred"	5
"4"	"BASV1231"	"BASV2911"	1	"darkgreen"	5
"5"	"BASV260"	"BASV3385"	1	"darkgreen"	5
"6"	"BASV2392"	"BASV6245"	1	"darkgreen"	5
"7"	"BASV1784"	"FASV40"	1	"darkred"	5
"8"	"BASV3385"	"FASV40"	1	"darkgreen"	5
"9"	"BASV3385"	"FASV45"	1	"darkgreen"	5
"10"	"FASV35"	"FASV45"	1	"darkgreen"	5
"11"	"BASV136"	"FASV51"	1	"darkgreen"	5
"12"	"BASV1362"	"FASV60"	1	"darkgreen"	5
"13"	"FASV35"	"FASV60"	1	"darkgreen"	5
"14"	"BASV31"	"FASV66"	1	"darkred"	5
"15"	"BASV76"	"FASV66"	1	"darkred"	5
"16"	"BASV136"	"FASV66"	1	"darkred"	5
"17"	"BASV260"	"FASV66"	1	"darkred"	5
"18"	"BASV1231"	"FASV66"	1	"darkgreen"	5
"19"	"BASV1362"	"FASV66"	1	"darkgreen"	5
"20"	"BASV1784"	"FASV66"	1	"darkgreen"	5
"21"	"BASV2392"	"FASV66"	1	"darkred"	5
"22"	"BASV2911"	"FASV66"	1	"darkgreen"	5
"23"	"BASV3385"	"FASV66"	1	"darkred"	5
"24"	"BASV6245"	"FASV66"	1	"darkred"	5
"25"	"FASV16"	"FASV66"	1	"darkgreen"	5
"26"	"FASV35"	"FASV66"	1	"darkgreen"	5
"27"	"FASV40"	"FASV66"	1	"darkred"	5
"28"	"FASV45"	"FASV66"	1	"darkgreen"	5
"29"	"FASV51"	"FASV66"	1	"darkred"	5
"30"	"FASV60"	"FASV66"	1	"darkgreen"	5
"31"	"BASV260"	"FASV104"	1	"darkred"	5
"32"	"BASV1231"	"FASV104"	1	"darkgreen"	5
"33"	"FASV16"	"FASV104"	1	"darkgreen"	5
"34"	"FASV45"	"FASV104"	1	"darkgreen"	5
"35"	"FASV60"	"FASV104"	1	"darkgreen"	5
"36"	"FASV66"	"FASV104"	1	"darkgreen"	5
"37"	"BASV1231"	"FASV137"	1	"darkgreen"	5
"38"	"BASV1784"	"FASV137"	1	"darkgreen"	5
"39"	"FASV16"	"FASV137"	1	"darkgreen"	5
"40"	"FASV35"	"FASV137"	1	"darkgreen"	5
"41"	"FASV66"	"FASV137"	1	"darkgreen"	5
"42"	"FASV104"	"FASV137"	1	"darkgreen"	5
"43"	"BASV76"	"FASV142"	1	"darkred"	5
"44"	"FASV60"	"FASV142"	1	"darkred"	5
"45"	"FASV66"	"FASV142"	1	"darkgreen"	5
"46"	"FASV104"	"FASV142"	1	"darkred"	5
"47"	"BASV1362"	"FASV156"	1	"darkgreen"	5
"48"	"BASV1784"	"FASV156"	1	"darkgreen"	5
"49"	"FASV45"	"FASV156"	1	"darkgreen"	5
"50"	"FASV51"	"FASV156"	1	"darkred"	5
"51"	"FASV66"	"FASV156"	1	"darkgreen"	5
"52"	"FASV104"	"FASV156"	1	"darkgreen"	5
"53"	"FASV137"	"FASV156"	1	"darkgreen"	5
"54"	"BASV136"	"FASV160"	1	"darkgreen"	5
"55"	"FASV66"	"FASV160"	1	"darkred"	5
"56"	"FASV45"	"FASV203"	1	"darkgreen"	5
"57"	"FASV60"	"FASV203"	1	"darkgreen"	5
"58"	"FASV66"	"FASV203"	1	"darkgreen"	5
"59"	"FASV66"	"FASV349"	1	"darkred"	5
"60"	"FASV156"	"FASV349"	1	"darkred"	5
"61"	"FASV160"	"FASV349"	1	"darkgreen"	5
"62"	"FASV203"	"FASV349"	1	"darkgreen"	5
"63"	"BASV3385"	"FASV410"	1	"darkgreen"	5
"64"	"FASV66"	"FASV410"	1	"darkred"	5
"65"	"FASV66"	"FASV906"	1	"darkred"	5
"66"	"FASV16"	"FASV2088"	1	"darkred"	5
"67"	"FASV66"	"FASV2088"	1	"darkred"	5
"68"	"FASV203"	"FASV2088"	1	"darkred"	5
