"rn"	"deg.mb"	"bet.mb"	"clo.mb"	"eig.mb.vector"	"hubScore"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1"	"BASV10005"	9	135.718613967785	0.000495294700346706	0.0165192364758354	0.0165192364758354	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Aestuariimicrobium"	"kwangyangense"
"2"	"BASV10017"	8	468.413736316608	0.000516262261228704	0.0194548253510951	0.0194548253510952	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Oceanobacillus"	"caeni"
"3"	"BASV10080"	7	499.291168175886	0.00053134962805526	0.0996670380274617	0.0996670380274618	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Ancylobacter"	"abiegnus"
"4"	"BASV10184"	7	230.690040075833	0.00050125313283208	0.00940717112163652	0.00940717112163661	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Ornithinibacillus"	"scapharcae"
"5"	"BASV10232"	23	4515.71379437719	0.000652315720808871	0.3304800913571	0.3304800913571	"Bacteria"	"Other"	"Acidobacteriae"	"Acidobacteriales"	"Acidobacteriaceae_(Subgroup_1)"	"Terriglobus"	"tenax"
"6"	"BASV1052"	15	497.000884265589	0.000601322910402886	0.233054947775668	0.233054947775669	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Roseomonas"	"aquatica"
"7"	"BASV10565"	13	217.036467166648	0.000442869796279894	0.00619246950617394	0.00619246950617416	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Steroidobacterales"	"Steroidobacteraceae"	"Steroidobacter"	"agariperforans"
"8"	"BASV1058"	20	1730.41995900663	0.000631711939355654	0.356532270345856	0.356532270345857	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Afipia"	"felis"
"9"	"BASV10699"	17	1478.48570796508	0.000565930956423316	0.0429393460694665	0.0429393460694668	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Asticcacaulis"	"solisilvae"
"10"	"BASV1076"	18	724.543369888758	0.000600240096038415	0.319479008982292	0.319479008982293	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiales_Incertae_Sedis"	"Alsobacter"	"metallidurans"
"11"	"BASV10875"	7	127.085188745014	0.000531067445565587	0.0405296354373631	0.0405296354373633	"Bacteria"	"Firmicutes"	"Bacilli"	"Paenibacillales"	"Paenibacillaceae"	"Paenibacillus"	"illinoisensis"
"12"	"BASV10917"	5	26.2586027584062	0.000443458980044346	0.0196883049619004	0.0196883049619005	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Rhodanobacter"	"rhizosphaerae"
"13"	"BASV10929"	15	875.448022739964	0.000523834468308015	0.0187462289519402	0.0187462289519402	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Frigoribacterium"	"faeni"
"14"	"BASV11"	29	903.804341827628	0.000588235294117647	0.880019918636495	0.880019918636496	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Azospirillales"	"Azospirillaceae"	"Skermanella"	"aerolata"
"15"	"BASV11008"	11	474.302631481128	0.000492853622474125	0.00956460007906161	0.00956460007906175	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	"monumenti"
"16"	"BASV11075"	8	93.7462502004687	0.000438788942518649	0.00464078720271441	0.00464078720271456	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"	"Microvirga"	"guangxiensis"
"17"	"BASV11151"	8	650.339100107839	0.000557724484104852	0.120108961324647	0.120108961324647	"Bacteria"	"Other"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"	"muciniphila"
"18"	"BASV112"	19	374.185577784672	0.000568828213879408	0.502722388418718	0.502722388418718	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"	"terricola"
"19"	"BASV11215"	10	361.261120143287	0.000534473543559594	0.148431568531575	0.148431568531575	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Moheibacter"	"sediminis"
"20"	"BASV1125"	12	350.123326374698	0.000563380281690141	0.320301391763451	0.320301391763451	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"szechwanensis"
"21"	"BASV1129"	14	496.706129653632	0.000557103064066852	0.0498550210889331	0.0498550210889332	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"soli"
"22"	"BASV11298"	12	212.900045773489	0.000455166135639508	0.00658527887006743	0.00658527887006775	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcaceae"	"Romboutsia"	"sedimentorum"
"23"	"BASV11317"	7	565.020083256823	0.000526038926880589	0.0694796117734042	0.0694796117734043	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Azospirillales"	"Azospirillaceae"	"Desertibacter"	"xinjiangensis"
"24"	"BASV11326"	10	85.9711799887015	0.00047438330170778	0.0105156188652812	0.0105156188652813	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"terrigena"
"25"	"BASV1137"	10	530.766185724629	0.000569476082004556	0.0616672531930638	0.061667253193064	"Bacteria"	"Firmicutes"	"Bacilli"	"Paenibacillales"	"Paenibacillaceae"	"Ammoniphilus"	"resinae"
"26"	"BASV116"	18	197.155040994223	0.000543183052688756	0.557829377968065	0.557829377968065	"Bacteria"	"Other"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	"Roseimicrobium"	"gellanilyticum"
"27"	"BASV1167"	18	613.16361223676	0.000605693519079346	0.368774030156742	0.368774030156742	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"naasensis"
"28"	"BASV11915"	12	274.164999961869	0.00048030739673391	0.0124934037487337	0.012493403748734	"Bacteria"	"Firmicutes"	"Bacilli"	"Alicyclobacillales"	"Alicyclobacillaceae"	"Tumebacillus"	"avium"
"29"	"BASV11933"	13	308.114185885681	0.000472143531633617	0.0102924126765754	0.0102924126765756	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	"rhizosphaerae"
"30"	"BASV120"	13	346.84781100045	0.000550964187327824	0.0542114322364157	0.054211432236416	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Micromonospora"	"coerulea"
"31"	"BASV121"	24	648.62476714562	0.000589970501474926	0.712481934899829	0.71248193489983	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Mucilaginibacter"	"rubeus"
"32"	"BASV12162"	11	284.34794863567	0.000519210799584631	0.0185169042621883	0.0185169042621882	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Geodermatophilaceae"	"Klenkia"	"terrae"
"33"	"BASV1231"	22	614.953817671828	0.000564652738565782	0.496259906461182	0.496259906461182	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Novosphingobium"	"arabidopsis"
"34"	"BASV1232"	12	365.677892095072	0.000567214974475326	0.0727981093010163	0.0727981093010164	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Domibacillus"	"robiginosus"
"35"	"BASV1245"	15	211.875698730009	0.000533049040511727	0.378347871489132	0.378347871489132	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"
"36"	"BASV125"	14	168.145947428402	0.000514668039114771	0.27820968200097	0.278209682000971	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Devosiaceae"	"Devosia"	"limi"
"37"	"BASV12568"	12	870.599727361833	0.000536193029490617	0.023047420616048	0.0230474206160481	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"ginsengisoli"
"38"	"BASV12707"	13	284.802758846067	0.00048780487804878	0.0120261402628076	0.0120261402628077	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Geodermatophilaceae"	"Blastococcus"	"endophyticus"
"39"	"BASV12793"	9	82.093403469428	0.000434782608695652	0.00480496832240525	0.00480496832240533	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Niabella"	"yanshanensis"
"40"	"BASV1282"	12	721.833941468488	0.000579374275782155	0.159598453158742	0.159598453158742	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptosporangiales"	"Thermomonosporaceae"	"Actinomadura"	"cremea"
"41"	"BASV12872"	6	65.106053565385	0.000478927203065134	0.011118361641663	0.011118361641663	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Kineosporiales"	"Kineosporiaceae"	"Kineococcus"	"radiotolerans"
"42"	"BASV1292"	12	390.613543709554	0.000585823081429408	0.13463532240037	0.13463532240037	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"aestuarii"
"43"	"BASV12933"	8	577.166794426851	0.000446827524575514	0.033991473140513	0.0339914731405132	"Bacteria"	"Firmicutes"	"Bacilli"	"Brevibacillales"	"Brevibacillaceae"	"Brevibacillus"	"invocatus"
"44"	"BASV12975"	11	313.30882967979	0.000512295081967213	0.0190600009451468	0.0190600009451468	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"choanae"
"45"	"BASV13032"	23	5808.43308300531	0.000652315720808871	0.289361483282562	0.289361483282562	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"plantarum"
"46"	"BASV13257"	14	329.972189251123	0.000478011472275335	0.0110198584101302	0.0110198584101303	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Geodermatophilaceae"	"Geodermatophilus"	"normandii"
