"from"	"to"	"weight"	"color"	"arrow.size"
"1"	"BASV8"	"BASV62"	1	"darkgreen"	5
"2"	"BASV8"	"BASV116"	1	"darkgreen"	5
"3"	"BASV8"	"BASV201"	1	"darkgreen"	5
"4"	"BASV8"	"BASV236"	1	"darkgreen"	5
"5"	"BASV8"	"BASV273"	1	"darkgreen"	5
"6"	"BASV8"	"BASV442"	1	"darkgreen"	5
"7"	"BASV8"	"BASV741"	1	"darkred"	5
"8"	"BASV8"	"BASV2264"	1	"darkred"	5
"9"	"BASV8"	"BASV3020"	1	"darkred"	5
"10"	"BASV8"	"BASV3276"	1	"darkred"	5
"11"	"BASV8"	"BASV3912"	1	"darkred"	5
"12"	"BASV8"	"BASV11215"	1	"darkred"	5
"13"	"BASV8"	"FASV3"	1	"darkred"	5
"14"	"BASV8"	"FASV20"	1	"darkgreen"	5
"15"	"BASV8"	"FASV30"	1	"darkgreen"	5
"16"	"BASV8"	"FASV71"	1	"darkgreen"	5
"17"	"BASV8"	"FASV75"	1	"darkgreen"	5
"18"	"BASV8"	"FASV197"	1	"darkgreen"	5
"19"	"BASV8"	"FASV203"	1	"darkgreen"	5
"20"	"BASV8"	"FASV386"	1	"darkgreen"	5
"21"	"BASV11"	"BASV31"	1	"darkgreen"	5
"22"	"BASV11"	"BASV62"	1	"darkgreen"	5
"23"	"BASV11"	"BASV95"	1	"darkgreen"	5
"24"	"BASV11"	"BASV99"	1	"darkgreen"	5
"25"	"BASV11"	"BASV116"	1	"darkgreen"	5
"26"	"BASV11"	"BASV121"	1	"darkgreen"	5
"27"	"BASV11"	"BASV201"	1	"darkgreen"	5
"28"	"BASV11"	"BASV269"	1	"darkgreen"	5
"29"	"BASV11"	"BASV273"	1	"darkgreen"	5
"30"	"BASV11"	"BASV294"	1	"darkgreen"	5
"31"	"BASV11"	"BASV295"	1	"darkgreen"	5
"32"	"BASV11"	"BASV517"	1	"darkgreen"	5
"33"	"BASV11"	"BASV729"	1	"darkgreen"	5
