"from"	"to"	"weight"	"color"	"arrow.size"
"1"	"BASV267"	"BASV497"	1	"darkgreen"	5
"2"	"BASV99"	"BASV5371"	1	"darkgreen"	5
"3"	"BASV442"	"BASV5371"	1	"darkgreen"	5
"4"	"BASV741"	"BASV5371"	1	"darkgreen"	5
"5"	"BASV2861"	"BASV5371"	1	"darkred"	5
"6"	"BASV166"	"FASV8"	1	"darkred"	5
"7"	"BASV5371"	"FASV8"	1	"darkred"	5
"8"	"BASV2861"	"FASV19"	1	"darkgreen"	5
"9"	"BASV99"	"FASV27"	1	"darkgreen"	5
"10"	"FASV19"	"FASV27"	1	"darkgreen"	5
"11"	"BASV166"	"FASV30"	1	"darkgreen"	5
"12"	"BASV99"	"FASV66"	1	"darkred"	5
"13"	"BASV166"	"FASV66"	1	"darkred"	5
"14"	"BASV267"	"FASV66"	1	"darkred"	5
"15"	"BASV442"	"FASV66"	1	"darkred"	5
"16"	"BASV478"	"FASV66"	1	"darkred"	5
"17"	"BASV497"	"FASV66"	1	"darkred"	5
"18"	"BASV729"	"FASV66"	1	"darkred"	5
"19"	"BASV741"	"FASV66"	1	"darkred"	5
"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"21"	"BASV2861"	"FASV66"	1	"darkgreen"	5
"22"	"BASV5371"	"FASV66"	1	"darkred"	5
"23"	"FASV8"	"FASV66"	1	"darkgreen"	5
"24"	"FASV18"	"FASV66"	1	"darkred"	5
"25"	"FASV19"	"FASV66"	1	"darkgreen"	5
"26"	"FASV27"	"FASV66"	1	"darkgreen"	5
"27"	"FASV30"	"FASV66"	1	"darkred"	5
"28"	"BASV166"	"FASV78"	1	"darkred"	5
"29"	"BASV2861"	"FASV78"	1	"darkgreen"	5
"30"	"FASV66"	"FASV78"	1	"darkgreen"	5
"31"	"FASV66"	"FASV81"	1	"darkred"	5
"32"	"FASV66"	"FASV99"	1	"darkgreen"	5
"33"	"BASV99"	"FASV113"	1	"darkred"	5
"34"	"BASV166"	"FASV113"	1	"darkgreen"	5
"35"	"BASV741"	"FASV113"	1	"darkred"	5
"36"	"FASV30"	"FASV113"	1	"darkgreen"	5
"37"	"FASV66"	"FASV113"	1	"darkgreen"	5
"38"	"BASV267"	"FASV122"	1	"darkred"	5
"39"	"BASV497"	"FASV122"	1	"darkred"	5
"40"	"FASV66"	"FASV122"	1	"darkgreen"	5
"41"	"BASV729"	"FASV144"	1	"darkgreen"	5
"42"	"FASV18"	"FASV144"	1	"darkgreen"	5
"43"	"FASV66"	"FASV144"	1	"darkred"	5
"44"	"BASV478"	"FASV309"	1	"darkred"	5
"45"	"FASV66"	"FASV309"	1	"darkgreen"	5
"46"	"FASV113"	"FASV309"	1	"darkgreen"	5
"47"	"BASV99"	"FASV355"	1	"darkgreen"	5
"48"	"BASV497"	"FASV355"	1	"darkgreen"	5
"49"	"FASV66"	"FASV355"	1	"darkred"	5
"50"	"BASV99"	"FASV906"	1	"darkgreen"	5
"51"	"BASV478"	"FASV906"	1	"darkred"	5
"52"	"BASV741"	"FASV906"	1	"darkgreen"	5
"53"	"BASV5371"	"FASV906"	1	"darkgreen"	5
"54"	"FASV66"	"FASV906"	1	"darkred"	5
"55"	"FASV309"	"FASV906"	1	"darkgreen"	5
"56"	"FASV355"	"FASV906"	1	"darkgreen"	5
