"Var1"	"Var2"	"rn.x"	"value"	"SampleID"	"Field"	"SampleType"	"Cultivar"	"Pathogen"	"deg.sub"	"bet.sub"	"clo.sub"	"eig.sub.vector"	"hubScore"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"rn.y"	"from"	"to"	"weight"	"color"	"arrow.size"
"1"	"BASV1245"	"q1cmr2"	"1"	0.000291062560259	"q1cmr2"	"Field1"	"Rhizo"	"Marquis"	"none"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"2"	"BASV1245"	"q1cmr3"	"27"	0	"q1cmr3"	"Field1"	"Rhizo"	"Marquis"	"none"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"3"	"BASV1245"	"q1cmt2"	"53"	0.000461041954818	"q1cmt2"	"Field1"	"Root"	"Marquis"	"none"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"4"	"BASV1245"	"q1cmt3"	"79"	0.003236245954693	"q1cmt3"	"Field1"	"Root"	"Marquis"	"none"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"5"	"BASV1245"	"q1rmr2"	"105"	0.00014829705548	"q1rmr2"	"Field1"	"Rhizo"	"Marquis"	"Mac"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"6"	"BASV1245"	"q1rmr3"	"131"	2.42e-05	"q1rmr3"	"Field1"	"Rhizo"	"Marquis"	"Mac"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"7"	"BASV1245"	"q1rmt2"	"157"	0	"q1rmt2"	"Field1"	"Root"	"Marquis"	"Mac"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"8"	"BASV1245"	"q1rmt3"	"183"	0	"q1rmt3"	"Field1"	"Root"	"Marquis"	"Mac"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"9"	"BASV1245"	"q2cmr2"	"209"	0.000271623142292	"q2cmr2"	"Field1"	"Rhizo"	"Marquis"	"none"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"10"	"BASV1245"	"q2cmr3"	"235"	0.000234932296784	"q2cmr3"	"Field1"	"Rhizo"	"Marquis"	"none"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"11"	"BASV1245"	"q2cmt2"	"261"	0	"q2cmt2"	"Field1"	"Root"	"Marquis"	"none"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"12"	"BASV1245"	"q2cmt3"	"287"	0	"q2cmt3"	"Field1"	"Root"	"Marquis"	"none"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"13"	"BASV1245"	"q2rmr2"	"313"	0.000163161711385	"q2rmr2"	"Field1"	"Rhizo"	"Marquis"	"Mac"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"14"	"BASV1245"	"q2rmr3"	"339"	0.000346897006279	"q2rmr3"	"Field1"	"Rhizo"	"Marquis"	"Mac"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"15"	"BASV1245"	"q2rmt2"	"365"	0	"q2rmt2"	"Field1"	"Root"	"Marquis"	"Mac"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
"16"	"BASV1245"	"q2rmt3"	"391"	0.001113585746102	"q2rmt3"	"Field1"	"Root"	"Marquis"	"Mac"	1	0	0.0204081632653061	0.148660805308394	0.148660805308395	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"	"20"	"BASV1245"	"FASV66"	1	"darkred"	5
