	m1cmr2	m1cmr3	m1cmt2	m1cmt3	m1rmr2	m1rmr3	m1rmt2	m2cmr2	m2cmr3	m2cmt2	m2rmr2	m2rmr3	m2rmt2	m2rmt3	m3cmr2	m3cmr3	m3cmt2	m3cmt3	m3rmr2	m3rmr3	m3rmt3	m4rmr2	m4rmr3	m4rmt2	m4rmt3	p1cmb1	p1cmb2	p1cmb3	p1rmb1	p1rmb2	p1rmb3	p2cmb1	p2cmb2	p2cmb3	p2rmb1	p2rmb2	p2rmb3	p3cmb1	p3cmb2	p3cmb3	p3rmb1	p3rmb2	p3rmb3	p4rmb1	p4rmb2	p4rmb3	q1cmr2	q1cmr3	q1cmt2	q1cmt3	q1rmr2	q1rmr3	q1rmt2	q1rmt3	q2cmr2	q2cmr3	q2cmt2	q2cmt3	q2rmr2	q2rmr3	q2rmt2	q2rmt3	q3cmr2	q3cmr3	q3cmt2	q3rmr2	q3rmr3	q3rmt2	q3rmt3	q4rmr2	q4rmr3	q4rmt3	s1cmr2	s1cmr3	s1cmt2	s1cmt3	s1rmr2	s1rmr3	s1rmt3	s2cmr2	s2cmr3	s2cmt2	s2cmt3	s2rmr2	s2rmr3	s2rmt2	s2rmt3	s3cmr2	s3cmr3	s3cmt3	s3rmr2	s3rmr3	s3rmt3
FASV3	0.040052209584188	0.035592028135991	0.300478468899522	0.547981469225678	0.066272514780696	0.060147380999801	0.459305339554173	0.112629749659481	0.040187964651424	0.506977243452125	0.097368421052632	0.037560633137605	0.598645215918713	0.495478832716811	0.037733544999389	0.011991350501278	0.204690169280944	0.34087626384208	0.027466130397968	0.012079145445531	0.138456712672522	0.075214576118055	0.050354924578527	0.380434782608696	0.205175005368263	0.001427915752971	0.000682680151707	0.001299856331669	0.002882037533512	0.005126379494482	0.007241831556138	0.000915041880763	0.003810640480727	0.002481115950819	0.00256064690027	0.006324423143436	0.006655216831258	0.001991851516523	0.001315843579095	0.001321974148061	0.002579007696086	0.003558967201675	0.006277244986922	0.005799526000279	0.006549728590014	0.00615169964485	0.046492525053393	0.044092430799379	0.479754601226994	0.541179906542056	0.030102883271942	0.035920748841122	0.435825410544512	0.430641072075335	0.025195392842452	0.072414726583649	0.517841601392515	0.545184083302343	0.029401960130675	0.017778890697383	0.287774409846606	0.426490003772161	0.047575757575758	0.01272886314964	0.154320987654321	0.078389725858237	0.015811407092662	0.682455156950673	0.269859028865518	0.04345716662046	0.014136468641175	0.280487804878049	0.024704172721611	0.009275264555841	0.196073298429319	0.205548128342246	0.039017289736216	0.030565051276895	0.286158631415241	0.054789001913587	0.049757178154554	0.010884150887133	0.632889277134746	0.095980962453728	0.011081560283688	0.538878742597819	0.10295624753646	0.022763679285052	0.018913519170393	0.131108462455304	0.066859949115437	0.036500406034962	0.319864368465668
FASV6	0.062278575424203	0.031137162954279	0.000478468899522	0	0.009624639076035	0.027285401314479	0.004924831518922	0.04220092997041	0.037873474540609	0.000858737655646	0.011578947368421	0.011392647434261	0.008467400508044	0	0.019996336549029	0.021771181442894	0	0.001444390948483	0.003228196443692	0.002028214720332	0.000501882057716	0.013401596145159	0.008207630878438	0.007688229056204	0.000966287309427	0.211280534448468	0.069254108723135	0.109461585824725	0.118699731903485	0.117123531505874	0.11119347664937	0.245864714577321	0.125702281498852	0.218007388211942	0.173787061994609	0.119571125055586	0.092486045513096	0.276776822091444	0.126608824376002	0.117251762632197	0.149336826592435	0.117027215631542	0.105666957279861	0.153798968353548	0.124624287829169	0.124365804160325	0.032309293028859	0.037151955580959	0	0.000584112149533	0.006012108895381	0.007248581604711	0.000756266205704	0.002535313292285	0.053990127519539	0.071534921494315	0.002175805047868	0.00260319821495	0.003866924461631	0.003630900212846	0.00018370533664	0	0.040757575757576	0.006907368865563	0.04320987654321	0.012546307730304	0.002451380944599	0.000140134529148	0.000447527411054	0.006445799833657	0.003413439988967	0	0.014376167739257	0.015472827690881	0.00196335078534	0.001253342245989	0.006709979763553	0.0116629800925	0	0.02104945110283	0.027093805912925	0.001789175488296	0.000655164883162	0.004759386567953	0.001994680851064	0.000276717029166	0.001261332282223	0.0290869235309	0.010236894681762	0.002251357436101	0.00710017158748	0.002692652904218	0.000282565696524
FASV7	0.000671266082417	0.000140679953107	0.013397129186603	0.00044120891242	0.001924927815207	0.000796654052977	0.00440642820114	0.000986332253065	0.001402721279282	0.000107342206956	0.004473684210526	0.005808016339035	0.001693480101609	0	0.006075222859934	1.64E-05	0.003727286845784	0.002246830364307	0.004074936494496	0.004191643755352	0.001944792973651	0.001430507453697	0.000443655723159	0.002386002120891	0.002147305132059	0.00081595185884	0.000657395701643	0.000342067455702	0.001139410187668	0.000854396582414	0.000114044591435	0.001126205391708	0.000928232937613	0.000385951370127	0.000606469002695	0.000642324225505	0.000429368827823	0.002444545043006	0.00024672067108	0.001138366627497	0.003070247257246	0.000732728541521	0.005579773321709	0.000641293740415	0.000672917320892	0.001173262303399	0.002080937517113	0.000898179145913	0.003680981595092	0.001460280373832	0.006562513230873	0.000393750111861	0.001728608470182	0.009416877942774	0.001593994241053	0.001488900920411	0.014360313315927	0.003966778232304	0.000733382225482	0.004382120946538	0.00073482134656	0.001886080724255	0.004545454545455	0.001146200947124	0.061728395061728	0.00380340824895	0.002941657133519	0.011210762331839	0.005817856343701	0.001108954810091	0.001206771713271	0.069105691056911	0.215123520863608	0.007883974872465	0.117931937172775	0.00894050802139	0.130862356658501	0.040418258596421	0.006134439260411	0.106254406284621	0.040470307574338	0.139406590129715	0.012229744485696	0.071390798519302	0.062721631205674	0.088549449333112	0.008119826566811	0.175786190034567	0.012900770621254	0.007681101840816	0.137269984024614	0.035731076633757	0.000282565696524
FASV8	0.000745851202685	0.004032825322392	0.008612440191388	0.00132362673726	0.001787432971264	0.003983270264887	0.00414722654225	0.002700671645296	0.002805442558564	0.001395448690425	0.002631578947368	0.003606076078632	0.002540220152413	0	0.003907681035535	0.001801978900465	0.001863643422892	0.001444390948483	0.002381456392887	0.00112678595574	0.000752823086575	0.001355217587713	0.000221827861579	0.004065040650407	0.00107365256603	0.000458972920598	0.00070796460177	0	0.000670241286863	0.000711997152011	0.000228089182871	0.001266981065672	0.000439689286238	0.000551359100182	0.000741239892183	0.000642324225505	0.000214684413912	0.001177003168855	0.00024672067108	0.000514101057579	0.002251514655314	0.000174459176553	0.005928509154316	0.023030809981877	0.000493472701987	0.000919583967529	0.001259514812989	0.000408263248142	0.001226993865031	0.000876168224299	0.002752021677463	0.001879261897518	0.021715643906655	0.007243752263673	0.007867132867133	0.009474824038982	0.004786771105309	0.00508243461014	0.004533635575705	0.02003255289846	0.00064296867824	0.002781969068276	0.001515151515152	0.00349892920701	0.030864197530864	0.008397135095085	0.002042817453832	0.00070067264574	0.006265383754755	0.001316883836984	0.003310002413543	0.028455284552846	0.169555740087191	0.004974914625406	0.203534031413613	0.018131684491979	0.125501473355345	0.021315101548361	0.006048038707448	0.066069090542854	0.021044559938656	0.296108543312957	0.006114872242848	0.079323109465891	0.012632978723404	0.049864408655709	0.001418998817501	0.065087260770593	0.009266482732376	0.009137862534764	0.08088278800071	0.014446296533744	0.001130262786098
FASV9	0.000484803281745	4.69E-05	0.008612440191388	0.00044120891242	0.00164993812732	0.002987452698666	0.004665629860031	0.00143253017707	0.002174217982887	0	0.005789473684211	0.000733980086801	0	0.000205507603781	0.001526437904506	0	0	0.002888781896967	0.001270110076207	0.001938071843873	0.000439146800502	0.000978768257793	0.000221827861579	0.002032520325203	0.001932574618853	0.000509969911775	0.000733249051833	0.000547307929124	0.000670241286863	0.000783196867213	0.000228089182871	0.001689308087562	0.000879378572475	0.000496223190164	0.000808625336927	0.000938781560354	0.000472305710605	0.001901312811227	0.000164480447387	0.000991480611046	0.002087768134927	0.000593161200279	0.005405405405405	0.001171058134672	0.000403750392535	0.001141552511416	0.000766661190515	0.001714705642198	0.013496932515337	0.002044392523364	0.001566535416402	0.000411647844218	0.001080380293863	0.009054690329591	0.002211024269848	0.001691932864104	0.012184508268059	0.002727160034709	0.000600040002667	0.002754476023538	0.00211261137136	4.72E-05	0.001818181818182	0.000663590022019	0.037037037037037	0.00074092368486	0.000326850792613	0.000980941704036	0.006712911165809	0.001039645134461	0.000379271109885	0.048780487804878	0.198411874610754	0.008895821914921	0.095287958115183	0.008439171122995	0.148152092874641	0.023527046048663	0.001728011059271	0.163561285124383	0.023600579364403	0.153272700164008	0.001965494649487	0.166578529878371	0.055186170212766	0.085118158171454	0.007094994087505	0.103026726245679	0.021786699647988	0.00357568533969	0.205727471747234	0.021797666367483	0.000282565696524
FASV10	0	0	0.020574162679426	0.00022060445621	0	0	0	0.000140904607581	0.000210408191892	0	0	0.000127648710748	0.002540220152413	0	0.000457931371352	0.596897319965926	0	0.15711763761836	0	0	6.27E-05	0	0	0.000618593142453	0.000429461026412	0	0.000101137800253	0	0.000402144772118	0	0	0	0	0	0	0	0.000128810648347	0	0	0.00025705052879	0.000204683150483	0	0.001569311246731	2.79E-05	0	0.000158548959919	0	0.000163305299257	0	0	0.000465726745417	0.000715909294292	0	0	0.000771287535993	0.000270709258257	0	0.001859427296393	0	0	0	0	0.006818181818182	0.489880252164208	0	0	0	0	0.001566345938689	0	0	0.008130081300813	0.000570894747768	0.000337282347485	0.001047120418848	0.001253342245989	0.000390527922746	0	0.000345602211854	0	0.00017040129505	0.001192783658864	0	0	0	0.0001660302175	0.000157666535278	0	0.650994196555989	0.705469474241822	0	0.000384664700603	0
FASV11	0.041357449188887	0.015756154747948	0	0	0.006599752509281	0.024696275642302	0.003110419906687	0.018082757972852	0.020900547061299	0.000322026620867	0.013421052631579	0.008329078376308	0.003386960203218	0	0.013157894736842	0.01297424808335	0	0.001123415182154	0.004286621507197	0.002749357732005	0.000627352572146	0.016112031320584	0.00776397515528	0.001944149876281	0.000536826283015	0.081493191901678	0.127433628318584	0.174317575425874	0.100134048257373	0.068850124599502	0.063237725950847	0.057506862814106	0.105476574331917	0.097370017092132	0.215902964959569	0.170710015316962	0.119278660369257	0.056767768220914	0.12763682717217	0.097789365452409	0.258924185361061	0.236008374040475	0.290496948561465	0.129123100515823	0.104571351666592	0.17941400304414	0.022506982092985	0.024005878990773	0.000613496932515	0	0.002540327702274	0.005566194763124	0.000540190146932	0.000724375226367	0.018767996709173	0.017325392528425	0.000435161009574	0.001239618197595	0.003000200013334	0.004757731313384	9.19E-05	0	0.02530303030303	0.006937532048382	0.012345679012346	0.015707582119042	0.005147899983657	0.000420403587444	0	0.007416135292487	0.003585835948005	0	0.006331741747976	0.012901049791307	0.000261780104712	0.000501336898396	0.007313522916889	0.010657550774181	0	0.006647195085104	0.011502087415864	0.001789175488296	0	0.006081438392385	0.002437943262411	5.53E-05	0.000630666141112	0.013742517494309	0.005365807249548	0.001059462322871	0.009585231643098	0.005983673120486	0.000565131393049
FASV12	0.000671266082417	0.002063305978898	0.014354066985646	0.00066181336863	0.001512443283377	0.001194981079466	0.004924831518922	0.001291625569489	0.001402721279282	0	0.001842105263158	0.00063824355374	0.000846740050804	0	0.000824276468433	1.64E-05	0.000155303618574	0.001444390948483	0.002487298899238	0.000991571641051	0.00069008782936	0.000602318927872	0.00377107364685	0.00141392718275	0.000858922052824	0.000305981947065	0.000227560050569	0.000136826982281	0.000402144772118	0.00064079743681	0.000285111478588	0.001478144576617	0.000244271825688	0.000937310470309	0.000876010781671	0.000345866890657	0.000601116358952	0.001358080579448	0.00012336033554	0.000587544065805	0.001432782053381	0.000209351011863	0.002441150828248	0.000250941028858	0.000358889237809	0.00076103500761	0.000328569081649	0.001796358291827	0.000613496932515	0.004672897196262	0.012828654896482	0.022407960911353	0.014693171996543	0.015574067366896	0.007918552036199	0.008798050893341	0.007832898172324	0.003842816412545	0.009867324488299	0.006009765869538	0.00082667401488	0.000990192380234	0.000606060606061	0.000663590022019	0.018518518518519	0.012002963694739	0.001307403170453	0.007987668161435	0.006041620049228	0.002079290268922	0.001448126055925	0.044715447154472	0.06627569026365	0.004890594038535	0.087434554973822	0.021306818181818	0.039230304966805	0.018298813593404	0.005011232071885	0.066874811159231	0.011842890005964	0.138810198300283	0.005459707359686	0.051295610787943	0.02238475177305	0.036360617632409	0.001182499014584	0.072590843942332	0.004148035391495	0.00476758045292	0.111472693923436	0.021113818010856	0.001695394179147
FASV13	0.068431847846355	0.033716295427902	0.041148325358852	0.00022060445621	0.244740822219167	0.052778331009759	0.021772939346812	0.033488328401672	0.008696871931547	0.003220266208673	0.062894736842105	0.02728491192239	0.005927180355631	0	0.125625839540847	0.019543280256864	0.029662991147694	0.000481463649494	0.148814563928874	0.006039572722766	0.000941028858218	0.19613010088842	0.048802129547471	0.031724991162955	0.003006227184883	0.000509969911775	5.06E-05	0	0.001675603217158	7.12E-05	5.70E-05	0.000563102695854	0.000488543651375	0.000330815460109	0.000471698113208	0.000395276446465	0.000815800772864	0.001991851516523	0.000411201118467	0.000330493537015	0.00012280989029	0.000104675505932	0.001220575414124	0.000501882057716	0.000448611547261	0.00050735667174	0.094956464596682	0.01396260308647	0.013496932515337	0.000584112149533	0.201109276429993	0.073470191326759	0.046780466724287	0.004708438971387	0.062011517893871	0.025243638332431	0.010443864229765	0.003470930953266	0.221014734315621	0.007261800425692	0.015431248277763	0.000188608072426	0.043030303030303	0.009471239405182	0.018518518518519	0.033292170906397	0.000939696028763	0.017797085201794	0.001118818527635	0.109578597172165	0.004206461400545	0.020325203252033	0.00129748806311	0.00067456469497	0.000785340314136	0.001086229946524	0.001526609152554	0.003418459682284	0.000259201658891	0.002115016617988	0.00051120388515	0.000149097957358	0.000218388294387	0.001322051824432	0.001551418439716	0.000221373623333	0.001103665746945	0.003625326700953	0.000627913614309	0.002516223016819	0.001597538607183	0.000726588878916	0
FASV14	0.000559388402014	4.69E-05	0.007177033492823	0.00352967129936	0.000274989687887	0.000398327026489	0.002073613271125	0.001949180404866	0.038715107308178	0	0.000789473684211	0.01471151391371	0.016934801016088	0.000822030415125	0.000274758822811	3.28E-05	0	0.003049269780132	0.000793818797629	0.425834948393203	0.337892095357591	0.001129347989761	0.191215616681455	8.84E-05	0.158578484002577	5.10E-05	0	0.000820961893685	0.159316353887399	0	0.000228089182871	0.008376152600831	0.000683961111925	0.000110271820036	0	0.000592914669697	0.000257621296694	0.006699864191942	0	0.00025705052879	0.000573112821353	0.000767620376832	0.004707933740192	0.005548584971421	0.001929029653223	0.001204972095383	0.000109523027216	0.000898179145913	0.000613496932515	0.000584112149533	0.000931453490834	0.165858285755195	0.000432152117545	0.00796812749004	0.001491155902921	0.000473741201949	0.001305483028721	0.004090740052064	0.00026668444563	0.242519093526981	0.00027555800496	0.199877404752923	0.009242424242424	9.05E-05	0	0.004099777722895	0.384580813858474	0.00070067264574	0.276124412620273	0.000831716107569	0.37199600041375	0.09349593495935	0.000622794270293	0.034740081790969	0.002225130890052	0.048546122994652	3.55E-05	0.132113412427106	0.00120960774149	0.009769362473562	0.01124648547329	0.001043685701506	0.002839047827036	0.000528820729773	0.358156028368794	0.000276717029166	0.306897910918408	0.001939128235393	0.001160688802207	0.00119189511323	0.000650849062186	0.296875667820661	0.200621644532354
