"rn"	"deg.mb"	"bet.mb"	"clo.mb"	"eig.mb.vector"	"hubScore"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1"	"BASV10017"	9	156.75544532826	0.000571755288736421	0.0667394271323752	0.0667394271323749	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Oceanobacillus"	"caeni"
"2"	"BASV10083"	8	467.736148681028	0.000708215297450425	0.226061768879811	0.226061768879811	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingobium"	"sufflavum"
"3"	"BASV1035"	12	693.665375044567	0.00075642965204236	0.416770943556725	0.416770943556725	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Hydrogenophilaceae"	"Thiobacillus"	"thioparus"
"4"	"BASV1052"	9	256.115718354598	0.00070871722182849	0.291688923402759	0.291688923402759	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Roseomonas"	"aquatica"
"5"	"BASV1058"	7	65.1236581923241	0.000567214974475326	0.0658656099871824	0.0658656099871821	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Afipia"	"felis"
"6"	"BASV1076"	11	899.968237461577	0.000723589001447178	0.250325435275773	0.250325435275773	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiales_Incertae_Sedis"	"Alsobacter"	"metallidurans"
"7"	"BASV10875"	10	286.487932354846	0.000636132315521629	0.136404324152387	0.136404324152386	"Bacteria"	"Firmicutes"	"Bacilli"	"Paenibacillales"	"Paenibacillaceae"	"Paenibacillus"	"illinoisensis"
"8"	"BASV10929"	7	91.9181813406578	0.000584453535943892	0.0742823948631956	0.0742823948631954	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Frigoribacterium"	"faeni"
"9"	"BASV11"	8	118.628162132538	0.000616142945163278	0.331764268285231	0.331764268285231	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Azospirillales"	"Azospirillaceae"	"Skermanella"	"aerolata"
"10"	"BASV11049"	7	104.721047280316	0.00056657223796034	0.0504819091197788	0.0504819091197787	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Aquamicrobium"	"aerolatum"
"11"	"BASV112"	12	383.328942802573	0.000707213578500707	0.71741352485838	0.71741352485838	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"	"terricola"
"12"	"BASV1125"	13	593.677495149388	0.000736919675755343	0.528981602699547	0.528981602699546	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"szechwanensis"
"13"	"BASV11273"	9	195.406223744917	0.000567214974475326	0.0613703280458408	0.0613703280458405	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Mesorhizobium"	"alhagi"
"14"	"BASV1129"	13	615.258002250692	0.000734214390602056	0.5705231077572	0.570523107757199	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"soli"
"15"	"BASV11298"	9	389.620175496645	0.000620732464307883	0.102986191685886	0.102986191685886	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcaceae"	"Romboutsia"	"sedimentorum"
"16"	"BASV1137"	9	328.980892709397	0.000706214689265537	0.214757590159912	0.214757590159912	"Bacteria"	"Firmicutes"	"Bacilli"	"Paenibacillales"	"Paenibacillaceae"	"Ammoniphilus"	"resinae"
"17"	"BASV116"	14	1356.80834711601	0.000765110941086458	0.605735669471047	0.605735669471047	"Bacteria"	"Other"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	"Roseimicrobium"	"gellanilyticum"
"18"	"BASV1167"	14	991.729665500397	0.000799360511590727	0.782895499950662	0.782895499950662	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"naasensis"
"19"	"BASV120"	7	169.352108415476	0.000610873549175321	0.0880320416144134	0.0880320416144133	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Micromonospora"	"coerulea"
"20"	"BASV121"	8	315.469137524658	0.000701754385964912	0.286471674775443	0.286471674775443	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Mucilaginibacter"	"rubeus"
"21"	"BASV12103"	7	158.344352451426	0.000598086124401914	0.0799965876644752	0.0799965876644751	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Aureimonas"	"altamirensis"
"22"	"BASV1231"	12	774.526846285262	0.000725689404934688	0.428898112712529	0.428898112712529	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Novosphingobium"	"arabidopsis"
"23"	"BASV1232"	12	415.771875090194	0.000719424460431655	0.369563180795907	0.369563180795906	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Domibacillus"	"robiginosus"
"24"	"BASV1245"	10	204.118892444342	0.000661375661375661	0.453727008525884	0.453727008525884	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"violaceus"
"25"	"BASV125"	14	699.719117242113	0.000766283524904215	0.653391032345361	0.653391032345362	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Devosiaceae"	"Devosia"	"limi"
"26"	"BASV12683"	8	429.052669824205	0.000617283950617284	0.0723826075547065	0.0723826075547063	"Bacteria"	"Firmicutes"	"Bacilli"	"Brevibacillales"	"Brevibacillaceae"	"Brevibacillus"	"agri"
"27"	"BASV1282"	10	459.811345077851	0.000732600732600733	0.330349307802991	0.330349307802991	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptosporangiales"	"Thermomonosporaceae"	"Actinomadura"	"cremea"
"28"	"BASV1292"	9	225.803210227363	0.000711237553342817	0.404515525673459	0.404515525673459	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"aestuarii"
"29"	"BASV13257"	5	108.46288328977	0.000645161290322581	0.106222400508724	0.106222400508724	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Geodermatophilaceae"	"Geodermatophilus"	"normandii"
"30"	"BASV1340"	8	175.302921520415	0.000612745098039216	0.0935187496086795	0.0935187496086793	"Bacteria"	"Firmicutes"	"Bacilli"	"Thermoactinomycetales"	"Thermoactinomycetaceae"	"Thermoactinomyces"	"vulgaris"
"31"	"BASV136"	11	334.812362898542	0.000681663258350375	0.582357517609163	0.582357517609163	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"	"Microvirga"	"vignae"
"32"	"BASV1362"	10	368.13940987766	0.000679347826086957	0.427172955988124	0.427172955988124	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Devosiaceae"	"Devosia"	"insulae"
"33"	"BASV1364"	13	965.415723118985	0.000777604976671851	0.518328875980222	0.518328875980222	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Hymenobacteraceae"	"Adhaeribacter"	"terrae"
"34"	"BASV137"	9	178.409208794556	0.000646830530401035	0.422788849113249	0.422788849113249	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingobium"	"japonicum"
"35"	"BASV13784"	12	925.091334378061	0.000743494423791822	0.330522821027001	0.330522821027	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"koreensis"
"36"	"BASV13836"	10	995.41163841641	0.000672043010752688	0.145175238466958	0.145175238466958	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"atraurantiacus"
"37"	"BASV14162"	12	628.199943262465	0.000723589001447178	0.487950030743059	0.487950030743059	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	"lannensis"
"38"	"BASV1435"	9	323.559040018152	0.000719424460431655	0.317851141805618	0.317851141805618	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Belnapia"	"rosea"
"39"	"BASV1457"	13	618.620201334844	0.000749063670411985	0.682274579201116	0.682274579201116	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Chitinophaga"	"rupis"
"40"	"BASV14947"	9	240.200518646042	0.000620732464307883	0.108964769501833	0.108964769501833	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"exalbidus"
"41"	"BASV1498"	10	599.302810195842	0.000741839762611276	0.370616815648653	0.370616815648653	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Methylophilaceae"	"Methylotenera"	"mobilis"
"42"	"BASV1510"	15	990.617677521606	0.000774593338497289	0.82431174524693	0.82431174524693	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	"aquaticus"
"43"	"BASV1538"	10	449.240454746903	0.000715307582260372	0.308677657922525	0.308677657922525	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Psychrobacillus"	"psychrodurans"
"44"	"BASV1563"	7	332.588862714379	0.000627746390458255	0.106675445992752	0.106675445992752	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Limnobacter"	"thiooxidans"
"45"	"BASV1573"	8	343.755934333916	0.0007097232079489	0.274076141567443	0.274076141567443	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	"resistens"
"46"	"BASV1592"	16	815.691985592996	0.000763358778625954	0.853458558059473	0.853458558059472	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	"cynarae"
"47"	"BASV160"	14	331.539903205911	0.000704225352112676	0.766882514211444	0.766882514211445	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Tardiphaga"	"robiniae"
"48"	"BASV1610"	7	153.615542309648	0.0006635700066357	0.256369964829855	0.256369964829855	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Kineosporiales"	"Kineosporiaceae"	"Kineosporia"	"rhamnosa"
"49"	"BASV1612"	9	698.976069909546	0.000750187546886722	0.321780225393778	0.321780225393778	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Reyranellales"	"Reyranellaceae"	"Reyranella"	"aquatilis"
"50"	"BASV1637"	10	777.051708067139	0.000742942050520059	0.311715711220272	0.311715711220272	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"thioparans"
"51"	"BASV1654"	5	143.87428283918	0.000688231245698555	0.166698222401502	0.166698222401502	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Asticcacaulis"	"benevestitus"
"52"	"BASV1657"	7	275.314108657615	0.0006635700066357	0.142613457421467	0.142613457421467	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Hyphomicrobium"	"facile"
"53"	"BASV166"	10	120.077739213808	0.000674763832658569	0.544328882291348	0.544328882291348	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"	"rubidus"
"54"	"BASV17140"	5	98.3441775221523	0.000630517023959647	0.100357366283297	0.100357366283297	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pedobacter"	"agri"
"55"	"BASV1722"	13	977.652299872941	0.000759878419452888	0.418942460172183	0.418942460172182	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"alba"
"56"	"BASV1736"	12	561.444616121766	0.000741839762611276	0.396154521155113	0.396154521155113	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Devosiaceae"	"Devosia"	"submarina"
"57"	"BASV1784"	8	137.121951462714	0.000628930817610063	0.314462689975712	0.314462689975712	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Acidovorax"	"radicis"
"58"	"BASV1785"	11	380.752592814897	0.000707213578500707	0.613716204088044	0.613716204088044	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Polaromonas"	"ginsengisoli"
"59"	"BASV1786"	12	889.023083675746	0.000742942050520059	0.42406696615005	0.42406696615005	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"	"oligotrophicus"
"60"	"BASV1790"	9	207.17358607676	0.000612745098039216	0.116524009909001	0.116524009909001	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Leifsonia"	"lichenia"
"61"	"BASV18"	11	229.3631741283	0.000659630606860158	0.532929606005283	0.532929606005282	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"paradoxus"
"62"	"BASV182"	9	95.0881762370184	0.000635324015247776	0.504295573094928	0.504295573094928	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"panaciterrae"
"63"	"BASV1823"	9	307.439637204859	0.0007097232079489	0.377988712068505	0.377988712068505	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"Solirubrobacteraceae"	"Solirubrobacter"	"soli"
"64"	"BASV1839"	10	341.247375000723	0.000723065798987708	0.378400264291481	0.378400264291481	"Bacteria"	"Firmicutes"	"Bacilli"	"Alicyclobacillales"	"Alicyclobacillaceae"	"Tumebacillus"	"ginsengisoli"
