"from"	"to"	"weight"	"color"	"arrow.size"
"1"	"BASV8"	"BASV62"	1	"darkgreen"	5
"2"	"BASV8"	"BASV136"	1	"darkgreen"	5
"3"	"BASV8"	"BASV236"	1	"darkgreen"	5
"4"	"BASV8"	"FASV11"	1	"darkgreen"	5
"5"	"BASV8"	"FASV18"	1	"darkgreen"	5
"6"	"BASV8"	"FASV20"	1	"darkgreen"	5
"7"	"BASV8"	"FASV30"	1	"darkgreen"	5
"8"	"BASV8"	"FASV40"	1	"darkgreen"	5
"9"	"BASV8"	"FASV121"	1	"darkgreen"	5
"10"	"BASV8"	"FASV190"	1	"darkgreen"	5
"11"	"BASV8"	"FASV793"	1	"darkred"	5
"12"	"BASV8"	"SUM"	1	"darkgreen"	5
"13"	"BASV11"	"BASV95"	1	"darkgreen"	5
"14"	"BASV11"	"BASV186"	1	"darkgreen"	5
"15"	"BASV11"	"BASV294"	1	"darkgreen"	5
"16"	"BASV11"	"FASV11"	1	"darkgreen"	5
"17"	"BASV11"	"FASV43"	1	"darkgreen"	5
"18"	"BASV11"	"FASV100"	1	"darkgreen"	5
"19"	"BASV11"	"FASV611"	1	"darkgreen"	5
"20"	"BASV11"	"SUM"	1	"darkgreen"	5
"21"	"BASV18"	"BASV31"	1	"darkgreen"	5
"22"	"BASV18"	"BASV137"	1	"darkgreen"	5
"23"	"BASV18"	"BASV186"	1	"darkgreen"	5
"24"	"BASV18"	"BASV232"	1	"darkgreen"	5
"25"	"BASV18"	"BASV269"	1	"darkgreen"	5
"26"	"BASV18"	"BASV570"	1	"darkgreen"	5
"27"	"BASV18"	"BASV932"	1	"darkgreen"	5
"28"	"BASV18"	"BASV3277"	1	"darkgreen"	5
"29"	"BASV18"	"FASV10"	1	"darkred"	5
"30"	"BASV18"	"FASV16"	1	"darkgreen"	5
"31"	"BASV18"	"FASV386"	1	"darkgreen"	5
"32"	"BASV27"	"BASV62"	1	"darkgreen"	5
"33"	"BASV27"	"BASV66"	1	"darkgreen"	5
"34"	"BASV27"	"BASV95"	1	"darkgreen"	5
"35"	"BASV27"	"BASV182"	1	"darkgreen"	5
"36"	"BASV27"	"BASV260"	1	"darkgreen"	5
"37"	"BASV27"	"BASV384"	1	"darkgreen"	5
"38"	"BASV27"	"BASV396"	1	"darkgreen"	5
"39"	"BASV27"	"FASV81"	1	"darkgreen"	5
"40"	"BASV27"	"FASV595"	1	"darkgreen"	5
"41"	"BASV31"	"BASV62"	1	"darkgreen"	5
"42"	"BASV31"	"BASV236"	1	"darkgreen"	5
"43"	"BASV31"	"BASV262"	1	"darkgreen"	5
"44"	"BASV31"	"BASV280"	1	"darkgreen"	5
"45"	"BASV31"	"BASV348"	1	"darkgreen"	5
"46"	"BASV31"	"BASV384"	1	"darkgreen"	5
"47"	"BASV31"	"BASV627"	1	"darkgreen"	5
"48"	"BASV31"	"FASV81"	1	"darkgreen"	5
"49"	"BASV31"	"FASV102"	1	"darkred"	5
"50"	"BASV45"	"BASV160"	1	"darkgreen"	5
"51"	"BASV45"	"BASV556"	1	"darkgreen"	5
"52"	"BASV45"	"BASV1245"	1	"darkgreen"	5
"53"	"BASV45"	"BASV2534"	1	"darkred"	5
"54"	"BASV45"	"BASV8986"	1	"darkred"	5
"55"	"BASV45"	"FASV30"	1	"darkgreen"	5
"56"	"BASV45"	"FASV45"	1	"darkgreen"	5
"57"	"BASV45"	"FASV66"	1	"darkred"	5
"58"	"BASV45"	"FASV341"	1	"darkred"	5
"59"	"BASV45"	"FASV386"	1	"darkred"	5
"60"	"BASV45"	"FASV485"	1	"darkred"	5
"61"	"BASV45"	"FASV810"	1	"darkgreen"	5
"62"	"BASV61"	"BASV2930"	1	"darkgreen"	5
"63"	"BASV61"	"BASV3135"	1	"darkgreen"	5
"64"	"BASV61"	"BASV5058"	1	"darkgreen"	5
"65"	"BASV61"	"BASV5460"	1	"darkgreen"	5
"66"	"BASV61"	"BASV6013"	1	"darkgreen"	5
"67"	"BASV61"	"BASV6417"	1	"darkgreen"	5
"68"	"BASV61"	"BASV6575"	1	"darkgreen"	5
"69"	"BASV61"	"BASV7851"	1	"darkgreen"	5
"70"	"BASV61"	"FASV113"	1	"darkgreen"	5
"71"	"BASV62"	"BASV76"	1	"darkgreen"	5
"72"	"BASV62"	"BASV95"	1	"darkgreen"	5
"73"	"BASV62"	"BASV99"	1	"darkgreen"	5
"74"	"BASV62"	"BASV112"	1	"darkgreen"	5
"75"	"BASV62"	"BASV136"	1	"darkgreen"	5
"76"	"BASV62"	"BASV166"	1	"darkgreen"	5
"77"	"BASV62"	"BASV269"	1	"darkgreen"	5
"78"	"BASV62"	"BASV280"	1	"darkgreen"	5
"79"	"BASV62"	"BASV729"	1	"darkgreen"	5
"80"	"BASV62"	"BASV741"	1	"darkred"	5
"81"	"BASV66"	"BASV88"	1	"darkgreen"	5
"82"	"BASV66"	"BASV112"	1	"darkgreen"	5
"83"	"BASV66"	"BASV182"	1	"darkgreen"	5
"84"	"BASV66"	"BASV250"	1	"darkgreen"	5
"85"	"BASV66"	"BASV294"	1	"darkgreen"	5
"86"	"BASV66"	"BASV338"	1	"darkgreen"	5
"87"	"BASV66"	"BASV384"	1	"darkgreen"	5
"88"	"BASV66"	"BASV858"	1	"darkgreen"	5
"89"	"BASV66"	"BASV2496"	1	"darkgreen"	5
"90"	"BASV66"	"FASV62"	1	"darkgreen"	5
"91"	"BASV66"	"FASV134"	1	"darkgreen"	5
"92"	"BASV66"	"FASV307"	1	"darkred"	5
"93"	"BASV66"	"FASV360"	1	"darkred"	5
"94"	"BASV66"	"FASV493"	1	"darkgreen"	5
"95"	"BASV76"	"BASV99"	1	"darkgreen"	5
"96"	"BASV76"	"BASV112"	1	"darkgreen"	5
"97"	"BASV76"	"BASV166"	1	"darkgreen"	5
"98"	"BASV76"	"BASV262"	1	"darkgreen"	5
"99"	"BASV76"	"BASV269"	1	"darkgreen"	5
"100"	"BASV76"	"BASV280"	1	"darkgreen"	5
"101"	"BASV76"	"BASV384"	1	"darkgreen"	5
"102"	"BASV76"	"BASV777"	1	"darkgreen"	5
"103"	"BASV76"	"BASV792"	1	"darkgreen"	5
"104"	"BASV76"	"FASV49"	1	"darkred"	5
"105"	"BASV76"	"FASV76"	1	"darkgreen"	5
"106"	"BASV76"	"FASV111"	1	"darkgreen"	5
"107"	"BASV88"	"BASV95"	1	"darkgreen"	5
"108"	"BASV88"	"BASV112"	1	"darkgreen"	5
"109"	"BASV88"	"BASV182"	1	"darkgreen"	5
"110"	"BASV88"	"BASV260"	1	"darkgreen"	5
"111"	"BASV88"	"BASV269"	1	"darkgreen"	5
"112"	"BASV88"	"BASV294"	1	"darkgreen"	5
"113"	"BASV88"	"BASV338"	1	"darkgreen"	5
"114"	"BASV88"	"BASV396"	1	"darkgreen"	5
"115"	"BASV88"	"BASV673"	1	"darkgreen"	5
"116"	"BASV88"	"BASV858"	1	"darkgreen"	5
"117"	"BASV88"	"FASV27"	1	"darkgreen"	5
"118"	"BASV88"	"FASV36"	1	"darkgreen"	5
"119"	"BASV88"	"FASV40"	1	"darkgreen"	5
"120"	"BASV88"	"FASV46"	1	"darkgreen"	5
"121"	"BASV88"	"FASV171"	1	"darkgreen"	5
