"Var1"	"Var2"	"rn.x"	"value"	"SampleID"	"Field"	"SampleType"	"Cultivar"	"Pathogen"	"deg.sub"	"bet.sub"	"clo.sub"	"eig.sub.vector"	"hubScore"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"rn.y"	"from"	"to"	"weight"	"color"	"arrow.size"
"1"	"BASV45"	"s1cmr2"	"1"	0.005300008862891	"s1cmr2"	"Field1"	"Rhizo"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"2"	"BASV45"	"s1cmr3"	"7"	0.001420672707725	"s1cmr3"	"Field1"	"Rhizo"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"3"	"BASV45"	"s1cmt2"	"13"	0.001937695632732	"s1cmt2"	"Field1"	"Root"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"4"	"BASV45"	"s1cmt3"	"19"	0.028580708022085	"s1cmt3"	"Field1"	"Root"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"5"	"BASV45"	"s1rmr2"	"25"	0.003611327617563	"s1rmr2"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"6"	"BASV45"	"s1rmr3"	"31"	0.003837928664171	"s1rmr3"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"7"	"BASV45"	"s1rmt2"	"37"	0.000730860588343	"s1rmt2"	"Field1"	"Root"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"8"	"BASV45"	"s1rmt3"	"43"	0.000757575757576	"s1rmt3"	"Field1"	"Root"	"SweetAnne"	"Mac"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"9"	"BASV45"	"s2cmr2"	"49"	0.00640452906368	"s2cmr2"	"Field1"	"Rhizo"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
"10"	"BASV45"	"s2cmr3"	"55"	0.002577051769645	"s2cmr3"	"Field1"	"Rhizo"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962601	0.397750809962601	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"ginsengisoli"	"1"	"BASV45"	"FASV66"	1	"darkred"	5
